Area,"CO2 (Mt)",Sector,Date
Brazil,0.022163,"Domestic Aviation",2019-01-01
Brazil,0.201663,"Ground Transport",2019-01-01
Brazil,0.240156,Industry,2019-01-01
Brazil,0.008889,"International Aviation",2019-01-01
Brazil,0.107727,Power,2019-01-01
Brazil,0.098452,Residential,2019-01-01
Brazil,0.670161,Total,2019-01-01
Brazil,0.030606,"Domestic Aviation",2019-01-02
Brazil,0.341199,"Ground Transport",2019-01-02
Brazil,0.283700,Industry,2019-01-02
Brazil,0.009374,"International Aviation",2019-01-02
Brazil,0.127260,Power,2019-01-02
Brazil,0.098452,Residential,2019-01-02
Brazil,0.881217,Total,2019-01-02
Brazil,0.030980,"Domestic Aviation",2019-01-03
Brazil,0.418676,"Ground Transport",2019-01-03
Brazil,0.272501,Industry,2019-01-03
Brazil,0.009973,"International Aviation",2019-01-03
Brazil,0.122236,Power,2019-01-03
Brazil,0.098452,Residential,2019-01-03
Brazil,0.942845,Total,2019-01-03
Brazil,0.030440,"Domestic Aviation",2019-01-04
Brazil,0.443308,"Ground Transport",2019-01-04
Brazil,0.246056,Industry,2019-01-04
Brazil,0.009638,"International Aviation",2019-01-04
Brazil,0.110374,Power,2019-01-04
Brazil,0.098452,Residential,2019-01-04
Brazil,0.928629,Total,2019-01-04
Brazil,0.028577,"Domestic Aviation",2019-01-05
Brazil,0.371087,"Ground Transport",2019-01-05
Brazil,0.264460,Industry,2019-01-05
Brazil,0.010153,"International Aviation",2019-01-05
Brazil,0.118630,Power,2019-01-05
Brazil,0.098452,Residential,2019-01-05
Brazil,0.881206,Total,2019-01-05
Brazil,0.027275,"Domestic Aviation",2019-01-06
Brazil,0.262905,"Ground Transport",2019-01-06
Brazil,0.266115,Industry,2019-01-06
Brazil,0.009935,"International Aviation",2019-01-06
Brazil,0.119372,Power,2019-01-06
Brazil,0.098452,Residential,2019-01-06
Brazil,0.774119,Total,2019-01-06
Brazil,0.030758,"Domestic Aviation",2019-01-07
Brazil,0.459458,"Ground Transport",2019-01-07
Brazil,0.251875,Industry,2019-01-07
Brazil,0.010016,"International Aviation",2019-01-07
Brazil,0.112984,Power,2019-01-07
Brazil,0.098452,Residential,2019-01-07
Brazil,0.953527,Total,2019-01-07
Brazil,0.030365,"Domestic Aviation",2019-01-08
Brazil,0.472862,"Ground Transport",2019-01-08
Brazil,0.259975,Industry,2019-01-08
Brazil,0.009834,"International Aviation",2019-01-08
Brazil,0.116618,Power,2019-01-08
Brazil,0.098452,Residential,2019-01-08
Brazil,0.978272,Total,2019-01-08
Brazil,0.030305,"Domestic Aviation",2019-01-09
Brazil,0.470345,"Ground Transport",2019-01-09
Brazil,0.266417,Industry,2019-01-09
Brazil,0.009448,"International Aviation",2019-01-09
Brazil,0.119507,Power,2019-01-09
Brazil,0.098452,Residential,2019-01-09
Brazil,0.985027,Total,2019-01-09
Brazil,0.032268,"Domestic Aviation",2019-01-10
Brazil,0.474046,"Ground Transport",2019-01-10
Brazil,0.269304,Industry,2019-01-10
Brazil,0.009767,"International Aviation",2019-01-10
Brazil,0.120802,Power,2019-01-10
Brazil,0.098452,Residential,2019-01-10
Brazil,0.994872,Total,2019-01-10
Brazil,0.026452,"Domestic Aviation",2019-01-11
Brazil,0.494012,"Ground Transport",2019-01-11
Brazil,0.263960,Industry,2019-01-11
Brazil,0.009363,"International Aviation",2019-01-11
Brazil,0.118405,Power,2019-01-11
Brazil,0.098452,Residential,2019-01-11
Brazil,1.001280,Total,2019-01-11
Brazil,0.029967,"Domestic Aviation",2019-01-12
Brazil,0.428228,"Ground Transport",2019-01-12
Brazil,0.270766,Industry,2019-01-12
