Area,"CO2 (Mt)",Sector,Date
France,0.005375,"Domestic Aviation",2019-01-01
France,0.210608,"Ground Transport",2019-01-01
France,0.065053,Industry,2019-01-01
France,0.018256,"International Aviation",2019-01-01
France,0.053604,Power,2019-01-01
France,0.329052,Residential,2019-01-01
France,0.663692,Total,2019-01-01
France,0.005905,"Domestic Aviation",2019-01-02
France,0.246682,"Ground Transport",2019-01-02
France,0.134035,Industry,2019-01-02
France,0.019090,"International Aviation",2019-01-02
France,0.110444,Power,2019-01-02
France,0.358711,Residential,2019-01-02
France,0.855778,Total,2019-01-02
France,0.005906,"Domestic Aviation",2019-01-03
France,0.301693,"Ground Transport",2019-01-03
France,0.153800,Industry,2019-01-03
France,0.020342,"International Aviation",2019-01-03
France,0.126731,Power,2019-01-03
France,0.410727,Residential,2019-01-03
France,0.998857,Total,2019-01-03
France,0.006728,"Domestic Aviation",2019-01-04
France,0.310999,"Ground Transport",2019-01-04
France,0.168448,Industry,2019-01-04
France,0.020819,"International Aviation",2019-01-04
France,0.138801,Power,2019-01-04
France,0.423471,Residential,2019-01-04
France,1.048446,Total,2019-01-04
France,0.006059,"Domestic Aviation",2019-01-05
France,0.254165,"Ground Transport",2019-01-05
France,0.173340,Industry,2019-01-05
France,0.021134,"International Aviation",2019-01-05
France,0.142832,Power,2019-01-05
France,0.402655,Residential,2019-01-05
France,0.979052,Total,2019-01-05
France,0.006355,"Domestic Aviation",2019-01-06
France,0.173431,"Ground Transport",2019-01-06
France,0.164388,Industry,2019-01-06
France,0.022663,"International Aviation",2019-01-06
France,0.135455,Power,2019-01-06
France,0.383063,Residential,2019-01-06
France,0.862692,Total,2019-01-06
France,0.006519,"Domestic Aviation",2019-01-07
France,0.319388,"Ground Transport",2019-01-07
France,0.166339,Industry,2019-01-07
France,0.020430,"International Aviation",2019-01-07
France,0.137063,Power,2019-01-07
France,0.357187,Residential,2019-01-07
France,0.986496,Total,2019-01-07
France,0.005895,"Domestic Aviation",2019-01-08
France,0.332500,"Ground Transport",2019-01-08
France,0.149064,Industry,2019-01-08
France,0.019327,"International Aviation",2019-01-08
France,0.122828,Power,2019-01-08
France,0.333863,Residential,2019-01-08
France,0.944150,Total,2019-01-08
France,0.006065,"Domestic Aviation",2019-01-09
France,0.331754,"Ground Transport",2019-01-09
France,0.161999,Industry,2019-01-09
France,0.017312,"International Aviation",2019-01-09
France,0.133487,Power,2019-01-09
France,0.378616,Residential,2019-01-09
France,1.011921,Total,2019-01-09
France,0.005910,"Domestic Aviation",2019-01-10
France,0.333350,"Ground Transport",2019-01-10
France,0.188120,Industry,2019-01-10
France,0.019814,"International Aviation",2019-01-10
France,0.155011,Power,2019-01-10
France,0.417233,Residential,2019-01-10
France,1.099625,Total,2019-01-10
France,0.006353,"Domestic Aviation",2019-01-11
