Area,"CO2 (Mt)",Sector,Date
India,0.019569,"Domestic Aviation",2019-01-01
India,0.816210,"Ground Transport",2019-01-01
India,2.072588,Industry,2019-01-01
India,0.011494,"International Aviation",2019-01-01
India,3.360131,Power,2019-01-01
India,1.674217,Residential,2019-01-01
India,7.942715,Total,2019-01-01
India,0.020020,"Domestic Aviation",2019-01-02
India,0.834113,"Ground Transport",2019-01-02
India,2.065947,Industry,2019-01-02
India,0.012844,"International Aviation",2019-01-02
India,3.349364,Power,2019-01-02
India,1.522805,Residential,2019-01-02
India,7.792250,Total,2019-01-02
India,0.019366,"Domestic Aviation",2019-01-03
India,0.841574,"Ground Transport",2019-01-03
India,2.091230,Industry,2019-01-03
India,0.012753,"International Aviation",2019-01-03
India,3.390354,Power,2019-01-03
India,1.591388,Residential,2019-01-03
India,7.933912,Total,2019-01-03
India,0.019955,"Domestic Aviation",2019-01-04
India,0.842256,"Ground Transport",2019-01-04
India,2.114645,Industry,2019-01-04
India,0.014002,"International Aviation",2019-01-04
India,3.428314,Power,2019-01-04
India,1.602205,Residential,2019-01-04
India,8.007374,Total,2019-01-04
India,0.019599,"Domestic Aviation",2019-01-05
India,0.834500,"Ground Transport",2019-01-05
India,2.135060,Industry,2019-01-05
India,0.013058,"International Aviation",2019-01-05
India,3.461412,Power,2019-01-05
India,1.367367,Residential,2019-01-05
India,7.817937,Total,2019-01-05
India,0.019474,"Domestic Aviation",2019-01-06
India,0.783472,"Ground Transport",2019-01-06
India,2.119064,Industry,2019-01-06
India,0.013751,"International Aviation",2019-01-06
India,3.435478,Power,2019-01-06
India,1.328942,Residential,2019-01-06
India,7.686429,Total,2019-01-06
India,0.019951,"Domestic Aviation",2019-01-07
India,0.851924,"Ground Transport",2019-01-07
India,2.014923,Industry,2019-01-07
India,0.011891,"International Aviation",2019-01-07
India,3.266643,Power,2019-01-07
India,1.461006,Residential,2019-01-07
India,7.614448,Total,2019-01-07
India,0.019559,"Domestic Aviation",2019-01-08
India,0.849987,"Ground Transport",2019-01-08
India,2.073435,Industry,2019-01-08
India,0.012583,"International Aviation",2019-01-08
India,3.361504,Power,2019-01-08
India,1.479167,Residential,2019-01-08
India,7.783652,Total,2019-01-08
India,0.020283,"Domestic Aviation",2019-01-09
India,0.852440,"Ground Transport",2019-01-09
India,2.145428,Industry,2019-01-09
India,0.012943,"International Aviation",2019-01-09
India,3.478220,Power,2019-01-09
India,1.660304,Residential,2019-01-09
India,8.156674,Total,2019-01-09
India,0.020216,"Domestic Aviation",2019-01-10
India,0.852093,"Ground Transport",2019-01-10
India,2.139574,Industry,2019-01-10
India,0.013343,"International Aviation",2019-01-10
India,3.468729,Power,2019-01-10
India,1.662982,Residential,2019-01-10
India,8.143594,Total,2019-01-10
India,0.017323,"Domestic Aviation",2019-01-11
India,0.824344,"Ground Transport",2019-01-11
India,2.142817,Industry,2019-01-11
India,0.013231,"International Aviation",2019-01-11
India,3.473987,Power,2019-01-11
India,1.457023,Residential,2019-01-11
India,7.915494,Total,2019-01-11
India,0.019867,"Domestic Aviation",2019-01-12
India,0.801485,"Ground Transport",2019-01-12
India,2.176141,Industry,2019-01-12
India,0.013021,"International Aviation",2019-01-12
India,3.528012,Power,2019-01-12
India,1.342525,Residential,2019-01-12
India,7.868031,Total,2019-01-12
India,0.019771,"Domestic Aviation",2019-01-13
India,0.827079,"Ground Transport",2019-01-13
India,2.163482,Industry,2019-01-13
India,0.013377,"International Aviation",2019-01-13
India,3.507490,Power,2019-01-13
India,1.178968,Residential,2019-01-13
India,7.696789,Total,2019-01-13
India,0.019904,"Domestic Aviation",2019-01-14
India,0.845832,"Ground Transport",2019-01-14
India,2.052701,Industry,2019-01-14
India,0.011559,"International Aviation",2019-01-14
India,3.327889,Power,2019-01-14
India,1.491424,Residential,2019-01-14
India,7.737749,Total,2019-01-14
India,0.019666,"Domestic Aviation",2019-01-15
India,0.852258,"Ground Transport",2019-01-15
India,1.996411,Industry,2019-01-15
India,0.012117,"International Aviation",2019-01-15
India,3.236630,Power,2019-01-15
India,1.926527,Residential,2019-01-15
India,8.031493,Total,2019-01-15
India,0.016433,"Domestic Aviation",2019-01-16
India,0.862473,"Ground Transport",2019-01-16
India,2.048646,Industry,2019-01-16
India,0.011831,"International Aviation",2019-01-16
India,3.321314,Power,2019-01-16
India,1.699339,Residential,2019-01-16
India,7.948206,Total,2019-01-16
India,0.019979,"Domestic Aviation",2019-01-17
India,0.855752,"Ground Transport",2019-01-17
India,2.098001,Industry,2019-01-17
India,0.012642,"International Aviation",2019-01-17
India,3.401330,Power,2019-01-17
India,1.495103,Residential,2019-01-17
India,7.870164,Total,2019-01-17
India,0.018757,"Domestic Aviation",2019-01-18
India,0.860798,"Ground Transport",2019-01-18
India,2.109578,Industry,2019-01-18
India,0.013319,"International Aviation",2019-01-18
India,3.420100,Power,2019-01-18
India,1.359257,Residential,2019-01-18
India,7.768490,Total,2019-01-18
India,0.019441,"Domestic Aviation",2019-01-19
India,0.856241,"Ground Transport",2019-01-19
India,2.146145,Industry,2019-01-19
India,0.013766,"International Aviation",2019-01-19
India,3.479383,Power,2019-01-19
India,1.087907,Residential,2019-01-19
India,7.589117,Total,2019-01-19
India,0.019017,"Domestic Aviation",2019-01-20
India,0.813786,"Ground Transport",2019-01-20
India,2.142349,Industry,2019-01-20
India,0.014218,"International Aviation",2019-01-20
India,3.473228,Power,2019-01-20
India,0.791824,Residential,2019-01-20
India,7.240205,Total,2019-01-20
India,0.019678,"Domestic Aviation",2019-01-21
India,0.860982,"Ground Transport",2019-01-21
India,2.065160,Industry,2019-01-21
India,0.012624,"International Aviation",2019-01-21
India,3.348088,Power,2019-01-21
India,0.700467,Residential,2019-01-21
India,6.994375,Total,2019-01-21
India,0.019473,"Domestic Aviation",2019-01-22
India,0.863223,"Ground Transport",2019-01-22
India,2.035658,Industry,2019-01-22
India,0.013625,"International Aviation",2019-01-22
India,3.300258,Power,2019-01-22
India,0.918964,Residential,2019-01-22
India,7.137577,Total,2019-01-22
