Area,"CO2 (Mt)",Sector,Date
Italy,0.003527,"Domestic Aviation",2019-01-01
Italy,0.199098,"Ground Transport",2019-01-01
Italy,0.072106,Industry,2019-01-01
Italy,0.010300,"International Aviation",2019-01-01
Italy,0.168141,Power,2019-01-01
Italy,0.387513,Residential,2019-01-01
Italy,0.830384,Total,2019-01-01
Italy,0.004916,"Domestic Aviation",2019-01-02
Italy,0.182708,"Ground Transport",2019-01-02
Italy,0.102205,Industry,2019-01-02
Italy,0.012566,"International Aviation",2019-01-02
Italy,0.238328,Power,2019-01-02
Italy,0.390860,Residential,2019-01-02
Italy,0.919017,Total,2019-01-02
Italy,0.004932,"Domestic Aviation",2019-01-03
Italy,0.237312,"Ground Transport",2019-01-03
Italy,0.109421,Industry,2019-01-03
Italy,0.011950,"International Aviation",2019-01-03
Italy,0.255156,Power,2019-01-03
Italy,0.454513,Residential,2019-01-03
Italy,1.061334,Total,2019-01-03
Italy,0.005020,"Domestic Aviation",2019-01-04
Italy,0.242396,"Ground Transport",2019-01-04
Italy,0.125307,Industry,2019-01-04
Italy,0.012891,"International Aviation",2019-01-04
Italy,0.292199,Power,2019-01-04
Italy,0.502729,Residential,2019-01-04
Italy,1.167651,Total,2019-01-04
Italy,0.004474,"Domestic Aviation",2019-01-05
Italy,0.204044,"Ground Transport",2019-01-05
Italy,0.108683,Industry,2019-01-05
Italy,0.012136,"International Aviation",2019-01-05
Italy,0.253435,Power,2019-01-05
Italy,0.461231,Residential,2019-01-05
Italy,1.031868,Total,2019-01-05
Italy,0.004950,"Domestic Aviation",2019-01-06
Italy,0.152127,"Ground Transport",2019-01-06
Italy,0.097888,Industry,2019-01-06
Italy,0.013312,"International Aviation",2019-01-06
Italy,0.228262,Power,2019-01-06
Italy,0.399326,Residential,2019-01-06
Italy,0.882553,Total,2019-01-06
Italy,0.005195,"Domestic Aviation",2019-01-07
Italy,0.202547,"Ground Transport",2019-01-07
Italy,0.150103,Industry,2019-01-07
Italy,0.012362,"International Aviation",2019-01-07
Italy,0.350020,Power,2019-01-07
Italy,0.416843,Residential,2019-01-07
Italy,1.124708,Total,2019-01-07
Italy,0.004567,"Domestic Aviation",2019-01-08
Italy,0.259312,"Ground Transport",2019-01-08
Italy,0.168418,Industry,2019-01-08
Italy,0.010455,"International Aviation",2019-01-08
Italy,0.392729,Power,2019-01-08
Italy,0.419222,Residential,2019-01-08
Italy,1.244249,Total,2019-01-08
Italy,0.004681,"Domestic Aviation",2019-01-09
Italy,0.260697,"Ground Transport",2019-01-09
Italy,0.159137,Industry,2019-01-09
Italy,0.010883,"International Aviation",2019-01-09
Italy,0.371085,Power,2019-01-09
Italy,0.403013,Residential,2019-01-09
Italy,1.198613,Total,2019-01-09
Italy,0.004797,"Domestic Aviation",2019-01-10
Italy,0.260415,"Ground Transport",2019-01-10
Italy,0.160162,Industry,2019-01-10
Italy,0.011874,"International Aviation",2019-01-10
Italy,0.373476,Power,2019-01-10
Italy,0.430364,Residential,2019-01-10
Italy,1.229213,Total,2019-01-10
Italy,0.004139,"Domestic Aviation",2019-01-11
Italy,0.264507,"Ground Transport",2019-01-11
Italy,0.172059,Industry,2019-01-11
Italy,0.011474,"International Aviation",2019-01-11
Italy,0.401218,Power,2019-01-11
Italy,0.461634,Residential,2019-01-11
Italy,1.303557,Total,2019-01-11
Italy,0.003738,"Domestic Aviation",2019-01-12
Italy,0.220453,"Ground Transport",2019-01-12
Italy,0.124694,Industry,2019-01-12
Italy,0.011398,"International Aviation",2019-01-12
Italy,0.290769,Power,2019-01-12
Italy,0.445104,Residential,2019-01-12
Italy,1.084757,Total,2019-01-12
Italy,0.004395,"Domestic Aviation",2019-01-13
Italy,0.170333,"Ground Transport",2019-01-13
Italy,0.108982,Industry,2019-01-13
Italy,0.012763,"International Aviation",2019-01-13
Italy,0.254132,Power,2019-01-13
Italy,0.396062,Residential,2019-01-13
Italy,0.933904,Total,2019-01-13
Italy,0.004889,"Domestic Aviation",2019-01-14
Italy,0.258490,"Ground Transport",2019-01-14
Italy,0.143370,Industry,2019-01-14
Italy,0.010879,"International Aviation",2019-01-14
Italy,0.334319,Power,2019-01-14
Italy,0.339889,Residential,2019-01-14
Italy,1.080957,Total,2019-01-14
Italy,0.004554,"Domestic Aviation",2019-01-15
Italy,0.263832,"Ground Transport",2019-01-15
Italy,0.154252,Industry,2019-01-15
Italy,0.009903,"International Aviation",2019-01-15
Italy,0.359694,Power,2019-01-15
Italy,0.378633,Residential,2019-01-15
Italy,1.160965,Total,2019-01-15
Italy,0.003958,"Domestic Aviation",2019-01-16
Italy,0.265283,"Ground Transport",2019-01-16
Italy,0.167352,Industry,2019-01-16
Italy,0.008794,"International Aviation",2019-01-16
Italy,0.390243,Power,2019-01-16
Italy,0.381530,Residential,2019-01-16
Italy,1.208366,Total,2019-01-16
Italy,0.004764,"Domestic Aviation",2019-01-17
Italy,0.263976,"Ground Transport",2019-01-17
Italy,0.168384,Industry,2019-01-17
Italy,0.010591,"International Aviation",2019-01-17
Italy,0.392649,Power,2019-01-17
Italy,0.349234,Residential,2019-01-17
Italy,1.179007,Total,2019-01-17
Italy,0.005195,"Domestic Aviation",2019-01-18
Italy,0.267621,"Ground Transport",2019-01-18
Italy,0.164788,Industry,2019-01-18
Italy,0.011815,"International Aviation",2019-01-18
Italy,0.384263,Power,2019-01-18
Italy,0.354915,Residential,2019-01-18
Italy,1.176783,Total,2019-01-18
Italy,0.003754,"Domestic Aviation",2019-01-19
Italy,0.232408,"Ground Transport",2019-01-19
Italy,0.143146,Industry,2019-01-19
Italy,0.011467,"International Aviation",2019-01-19
Italy,0.333798,Power,2019-01-19
Italy,0.399175,Residential,2019-01-19
Italy,1.112282,Total,2019-01-19
Italy,0.004395,"Domestic Aviation",2019-01-20
Italy,0.183509,"Ground Transport",2019-01-20
Italy,0.127428,Industry,2019-01-20
Italy,0.012324,"International Aviation",2019-01-20
Italy,0.297145,Power,2019-01-20
Italy,0.417429,Residential,2019-01-20
Italy,1.029906,Total,2019-01-20
Italy,0.004931,"Domestic Aviation",2019-01-21
Italy,0.262719,"Ground Transport",2019-01-21
Italy,0.177124,Industry,2019-01-21
Italy,0.011784,"International Aviation",2019-01-21
Italy,0.413030,Power,2019-01-21
Italy,0.415653,Residential,2019-01-21
Italy,1.273457,Total,2019-01-21
Italy,0.004470,"Domestic Aviation",2019-01-22
Italy,0.265870,"Ground Transport",2019-01-22
Italy,0.174027,Industry,2019-01-22
Italy,0.009730,"International Aviation",2019-01-22
Italy,0.405807,Power,2019-01-22
Italy,0.432921,Residential,2019-01-22
Italy,1.283094,Total,2019-01-22
Italy,0.004611,"Domestic Aviation",2019-01-23
Italy,0.266177,"Ground Transport",2019-01-23
Italy,0.175947,Industry,2019-01-23
Italy,0.011513,"International Aviation",2019-01-23
Italy,0.410285,Power,2019-01-23
Italy,0.452210,Residential,2019-01-23
Italy,1.309231,Total,2019-01-23
Italy,0.004858,"Domestic Aviation",2019-01-24
Italy,0.266819,"Ground Transport",2019-01-24
Italy,0.179937,Industry,2019-01-24
Italy,0.011421,"International Aviation",2019-01-24
Italy,0.419590,Power,2019-01-24
Italy,0.429696,Residential,2019-01-24
Italy,1.300900,Total,2019-01-24
Italy,0.005279,"Domestic Aviation",2019-01-25
Italy,0.268226,"Ground Transport",2019-01-25
Italy,0.154821,Industry,2019-01-25
Italy,0.012972,"International Aviation",2019-01-25
Italy,0.361022,Power,2019-01-25
Italy,0.445147,Residential,2019-01-25
Italy,1.234495,Total,2019-01-25
Italy,0.003561,"Domestic Aviation",2019-01-26
Italy,0.230792,"Ground Transport",2019-01-26
Italy,0.116575,Industry,2019-01-26
Italy,0.012541,"International Aviation",2019-01-26
Italy,0.271836,Power,2019-01-26
Italy,0.437157,Residential,2019-01-26
Italy,1.059922,Total,2019-01-26
Italy,0.004482,"Domestic Aviation",2019-01-27
Italy,0.180731,"Ground Transport",2019-01-27
Italy,0.109972,Industry,2019-01-27
Italy,0.013830,"International Aviation",2019-01-27
Italy,0.256439,Power,2019-01-27
Italy,0.408487,Residential,2019-01-27
Italy,0.960112,Total,2019-01-27
Italy,0.003719,"Domestic Aviation",2019-01-28
Italy,0.263402,"Ground Transport",2019-01-28
Italy,0.140091,Industry,2019-01-28
Italy,0.010365,"International Aviation",2019-01-28
Italy,0.326673,Power,2019-01-28
Italy,0.383729,Residential,2019-01-28
Italy,1.117614,Total,2019-01-28
Italy,0.004518,"Domestic Aviation",2019-01-29
Italy,0.265733,"Ground Transport",2019-01-29
Italy,0.162648,Industry,2019-01-29
Italy,0.010328,"International Aviation",2019-01-29
Italy,0.379273,Power,2019-01-29
Italy,0.422601,Residential,2019-01-29
Italy,1.234773,Total,2019-01-29
Italy,0.004590,"Domestic Aviation",2019-01-30
Italy,0.263430,"Ground Transport",2019-01-30
Italy,0.165886,Industry,2019-01-30
Italy,0.011528,"International Aviation",2019-01-30
Italy,0.386824,Power,2019-01-30
Italy,0.436671,Residential,2019-01-30
Italy,1.257400,Total,2019-01-30
Italy,0.004841,"Domestic Aviation",2019-01-31
Italy,0.265180,"Ground Transport",2019-01-31
Italy,0.147889,Industry,2019-01-31
Italy,0.011327,"International Aviation",2019-01-31
Italy,0.344857,Power,2019-01-31
Italy,0.420300,Residential,2019-01-31
Italy,1.183067,Total,2019-01-31
Italy,0.005117,"Domestic Aviation",2019-02-01
Italy,0.266594,"Ground Transport",2019-02-01
Italy,0.199247,Industry,2019-02-01
Italy,0.012441,"International Aviation",2019-02-01
Italy,0.325906,Power,2019-02-01
Italy,0.349958,Residential,2019-02-01
Italy,1.146823,Total,2019-02-01
Italy,0.003865,"Domestic Aviation",2019-02-02
Italy,0.231656,"Ground Transport",2019-02-02
Italy,0.135475,Industry,2019-02-02
Italy,0.012570,"International Aviation",2019-02-02
Italy,0.221594,Power,2019-02-02
Italy,0.327850,Residential,2019-02-02
Italy,0.920439,Total,2019-02-02
Italy,0.004407,"Domestic Aviation",2019-02-03
Italy,0.174279,"Ground Transport",2019-02-03
Italy,0.117100,Industry,2019-02-03
Italy,0.013444,"International Aviation",2019-02-03
Italy,0.191538,Power,2019-02-03
Italy,0.358216,Residential,2019-02-03
Italy,0.845540,Total,2019-02-03
Italy,0.005089,"Domestic Aviation",2019-02-04
Italy,0.262226,"Ground Transport",2019-02-04
Italy,0.195696,Industry,2019-02-04
Italy,0.012020,"International Aviation",2019-02-04
Italy,0.320098,Power,2019-02-04
Italy,0.374713,Residential,2019-02-04
Italy,1.157821,Total,2019-02-04
Italy,0.004479,"Domestic Aviation",2019-02-05
Italy,0.264924,"Ground Transport",2019-02-05
Italy,0.187525,Industry,2019-02-05
Italy,0.010517,"International Aviation",2019-02-05
Italy,0.306732,Power,2019-02-05
Italy,0.383386,Residential,2019-02-05
Italy,1.147046,Total,2019-02-05
Italy,0.004618,"Domestic Aviation",2019-02-06
Italy,0.264508,"Ground Transport",2019-02-06
Italy,0.174575,Industry,2019-02-06
Italy,0.011371,"International Aviation",2019-02-06
Italy,0.285550,Power,2019-02-06
Italy,0.376134,Residential,2019-02-06
Italy,1.105385,Total,2019-02-06
Italy,0.004944,"Domestic Aviation",2019-02-07
Italy,0.264483,"Ground Transport",2019-02-07
Italy,0.201733,Industry,2019-02-07
Italy,0.010936,"International Aviation",2019-02-07
Italy,0.329972,Power,2019-02-07
Italy,0.382494,Residential,2019-02-07
Italy,1.183627,Total,2019-02-07
Italy,0.005318,"Domestic Aviation",2019-02-08
Italy,0.266871,"Ground Transport",2019-02-08
Italy,0.204364,Industry,2019-02-08
Italy,0.012622,"International Aviation",2019-02-08
Italy,0.334275,Power,2019-02-08
Italy,0.370323,Residential,2019-02-08
