Area,"CO2 (Mt)",Sector,Date
Japan,0.024266,"Domestic Aviation",2019-01-01
Japan,0.492941,"Ground Transport",2019-01-01
Japan,0.512700,Industry,2019-01-01
Japan,0.020617,"International Aviation",2019-01-01
Japan,1.282224,Power,2019-01-01
Japan,0.596857,Residential,2019-01-01
Japan,2.908988,Total,2019-01-01
Japan,0.025028,"Domestic Aviation",2019-01-02
Japan,0.474595,"Ground Transport",2019-01-02
Japan,0.503485,Industry,2019-01-02
Japan,0.021569,"International Aviation",2019-01-02
Japan,1.259177,Power,2019-01-02
Japan,0.634610,Residential,2019-01-02
Japan,2.896896,Total,2019-01-02
Japan,0.024960,"Domestic Aviation",2019-01-03
Japan,0.494275,"Ground Transport",2019-01-03
Japan,0.525419,Industry,2019-01-03
Japan,0.022327,"International Aviation",2019-01-03
Japan,1.314032,Power,2019-01-03
Japan,0.642160,Residential,2019-01-03
Japan,3.000846,Total,2019-01-03
Japan,0.024780,"Domestic Aviation",2019-01-04
Japan,0.500013,"Ground Transport",2019-01-04
Japan,0.581722,Industry,2019-01-04
Japan,0.022032,"International Aviation",2019-01-04
Japan,1.454843,Power,2019-01-04
Japan,0.565142,Residential,2019-01-04
Japan,3.126500,Total,2019-01-04
Japan,0.023901,"Domestic Aviation",2019-01-05
Japan,0.482813,"Ground Transport",2019-01-05
Japan,0.587081,Industry,2019-01-05
Japan,0.022320,"International Aviation",2019-01-05
Japan,1.468245,Power,2019-01-05
Japan,0.550246,Residential,2019-01-05
Japan,3.112286,Total,2019-01-05
Japan,0.024650,"Domestic Aviation",2019-01-06
Japan,0.457619,"Ground Transport",2019-01-06
Japan,0.610074,Industry,2019-01-06
Japan,0.022066,"International Aviation",2019-01-06
Japan,1.525749,Power,2019-01-06
Japan,0.639778,Residential,2019-01-06
Japan,3.257869,Total,2019-01-06
Japan,0.024078,"Domestic Aviation",2019-01-07
Japan,0.490139,"Ground Transport",2019-01-07
Japan,0.698240,Industry,2019-01-07
Japan,0.022052,"International Aviation",2019-01-07
Japan,1.746246,Power,2019-01-07
Japan,0.609810,Residential,2019-01-07
Japan,3.568514,Total,2019-01-07
Japan,0.023440,"Domestic Aviation",2019-01-08
Japan,0.494048,"Ground Transport",2019-01-08
Japan,0.730031,Industry,2019-01-08
Japan,0.021941,"International Aviation",2019-01-08
Japan,1.825753,Power,2019-01-08
Japan,0.577397,Residential,2019-01-08
Japan,3.650668,Total,2019-01-08
Japan,0.023481,"Domestic Aviation",2019-01-09
Japan,0.492920,"Ground Transport",2019-01-09
Japan,0.745808,Industry,2019-01-09
Japan,0.022603,"International Aviation",2019-01-09
Japan,1.865208,Power,2019-01-09
Japan,0.673052,Residential,2019-01-09
Japan,3.800470,Total,2019-01-09
Japan,0.024957,"Domestic Aviation",2019-01-10
Japan,0.496189,"Ground Transport",2019-01-10
Japan,0.780760,Industry,2019-01-10
Japan,0.022978,"International Aviation",2019-01-10
Japan,1.952621,Power,2019-01-10
Japan,0.614571,Residential,2019-01-10
Japan,3.869098,Total,2019-01-10
Japan,0.017149,"Domestic Aviation",2019-01-11
Japan,0.500406,"Ground Transport",2019-01-11
Japan,0.749227,Industry,2019-01-11
Japan,0.021283,"International Aviation",2019-01-11
Japan,1.873761,Power,2019-01-11
Japan,0.576228,Residential,2019-01-11
Japan,3.716771,Total,2019-01-11
Japan,0.023853,"Domestic Aviation",2019-01-12
