Area,"CO2 (Mt)",Sector,Date
ROW,0.157659,"Domestic Aviation",2019-01-01
ROW,4.511789,"Ground Transport",2019-01-01
ROW,6.363931,Industry,2019-01-01
ROW,0.997286,"International Aviation",2019-01-01
ROW,8.571272,Power,2019-01-01
ROW,5.546461,Residential,2019-01-01
ROW,25.151112,Total,2019-01-01
ROW,0.178076,"Domestic Aviation",2019-01-02
ROW,4.864891,"Ground Transport",2019-01-02
ROW,6.923526,Industry,2019-01-02
ROW,1.088094,"International Aviation",2019-01-02
ROW,9.324963,Power,2019-01-02
ROW,5.382160,Residential,2019-01-02
ROW,26.673616,Total,2019-01-02
ROW,0.184057,"Domestic Aviation",2019-01-03
ROW,5.762061,"Ground Transport",2019-01-03
ROW,7.195968,Industry,2019-01-03
ROW,1.120982,"International Aviation",2019-01-03
ROW,9.691903,Power,2019-01-03
ROW,5.257006,Residential,2019-01-03
ROW,28.090995,Total,2019-01-03
ROW,0.182542,"Domestic Aviation",2019-01-04
ROW,5.488074,"Ground Transport",2019-01-04
ROW,7.299820,Industry,2019-01-04
ROW,1.140644,"International Aviation",2019-01-04
ROW,9.831776,Power,2019-01-04
ROW,5.327279,Residential,2019-01-04
ROW,28.129491,Total,2019-01-04
ROW,0.167307,"Domestic Aviation",2019-01-05
ROW,5.065786,"Ground Transport",2019-01-05
ROW,6.982681,Industry,2019-01-05
ROW,1.165556,"International Aviation",2019-01-05
ROW,9.404636,Power,2019-01-05
ROW,5.236343,Residential,2019-01-05
ROW,26.856752,Total,2019-01-05
ROW,0.169543,"Domestic Aviation",2019-01-06
ROW,4.240283,"Ground Transport",2019-01-06
ROW,6.784034,Industry,2019-01-06
ROW,1.194287,"International Aviation",2019-01-06
ROW,9.137088,Power,2019-01-06
ROW,5.052644,Residential,2019-01-06
ROW,25.383592,Total,2019-01-06
ROW,0.176404,"Domestic Aviation",2019-01-07
ROW,5.750885,"Ground Transport",2019-01-07
ROW,7.439456,Industry,2019-01-07
ROW,1.132250,"International Aviation",2019-01-07
ROW,10.019844,Power,2019-01-07
ROW,5.148071,Residential,2019-01-07
ROW,28.534661,Total,2019-01-07
ROW,0.175798,"Domestic Aviation",2019-01-08
ROW,6.122183,"Ground Transport",2019-01-08
ROW,7.617406,Industry,2019-01-08
ROW,1.066499,"International Aviation",2019-01-08
ROW,10.259518,Power,2019-01-08
ROW,5.482753,Residential,2019-01-08
ROW,29.657658,Total,2019-01-08
ROW,0.173321,"Domestic Aviation",2019-01-09
ROW,6.191694,"Ground Transport",2019-01-09
ROW,7.537291,Industry,2019-01-09
ROW,1.072408,"International Aviation",2019-01-09
