Area,"CO2 (Mt)",Sector,Date
Spain,0.012522,"Domestic Aviation",2019-01-01
Spain,0.186343,"Ground Transport",2019-01-01
Spain,0.146220,Industry,2019-01-01
Spain,0.016831,"International Aviation",2019-01-01
Spain,0.132672,Power,2019-01-01
Spain,0.163837,Residential,2019-01-01
Spain,0.641594,Total,2019-01-01
Spain,0.015233,"Domestic Aviation",2019-01-02
Spain,0.144303,"Ground Transport",2019-01-02
Spain,0.153908,Industry,2019-01-02
Spain,0.021419,"International Aviation",2019-01-02
Spain,0.139648,Power,2019-01-02
Spain,0.168915,Residential,2019-01-02
Spain,0.622006,Total,2019-01-02
Spain,0.014519,"Domestic Aviation",2019-01-03
Spain,0.249567,"Ground Transport",2019-01-03
Spain,0.186674,Industry,2019-01-03
Spain,0.020323,"International Aviation",2019-01-03
Spain,0.169378,Power,2019-01-03
Spain,0.175548,Residential,2019-01-03
Spain,0.795686,Total,2019-01-03
Spain,0.014722,"Domestic Aviation",2019-01-04
Spain,0.253048,"Ground Transport",2019-01-04
Spain,0.213360,Industry,2019-01-04
Spain,0.020830,"International Aviation",2019-01-04
Spain,0.193591,Power,2019-01-04
Spain,0.178618,Residential,2019-01-04
Spain,0.853339,Total,2019-01-04
Spain,0.012635,"Domestic Aviation",2019-01-05
Spain,0.143717,"Ground Transport",2019-01-05
Spain,0.168225,Industry,2019-01-05
Spain,0.023525,"International Aviation",2019-01-05
Spain,0.152638,Power,2019-01-05
Spain,0.176000,Residential,2019-01-05
Spain,0.653215,Total,2019-01-05
Spain,0.013822,"Domestic Aviation",2019-01-06
Spain,0.105427,"Ground Transport",2019-01-06
Spain,0.138500,Industry,2019-01-06
Spain,0.023763,"International Aviation",2019-01-06
Spain,0.125667,Power,2019-01-06
Spain,0.171383,Residential,2019-01-06
Spain,0.554800,Total,2019-01-06
Spain,0.014976,"Domestic Aviation",2019-01-07
Spain,0.123237,"Ground Transport",2019-01-07
Spain,0.173444,Industry,2019-01-07
Spain,0.020726,"International Aviation",2019-01-07
Spain,0.157374,Power,2019-01-07
Spain,0.173787,Residential,2019-01-07
Spain,0.642818,Total,2019-01-07
Spain,0.013272,"Domestic Aviation",2019-01-08
Spain,0.251841,"Ground Transport",2019-01-08
Spain,0.180448,Industry,2019-01-08
Spain,0.018249,"International Aviation",2019-01-08
Spain,0.163729,Power,2019-01-08
Spain,0.172352,Residential,2019-01-08
Spain,0.781640,Total,2019-01-08
Spain,0.013905,"Domestic Aviation",2019-01-09
Spain,0.253878,"Ground Transport",2019-01-09
Spain,0.156801,Industry,2019-01-09
Spain,0.017880,"International Aviation",2019-01-09
Spain,0.142273,Power,2019-01-09
Spain,0.159896,Residential,2019-01-09
Spain,0.726753,Total,2019-01-09
Spain,0.014238,"Domestic Aviation",2019-01-10
Spain,0.255543,"Ground Transport",2019-01-10
Spain,0.169669,Industry,2019-01-10
Spain,0.019537,"International Aviation",2019-01-10
Spain,0.153948,Power,2019-01-10
Spain,0.177221,Residential,2019-01-10
Spain,0.770620,Total,2019-01-10
Spain,0.015150,"Domestic Aviation",2019-01-11
Spain,0.260614,"Ground Transport",2019-01-11
Spain,0.190108,Industry,2019-01-11
Spain,0.018178,"International Aviation",2019-01-11
Spain,0.172494,Power,2019-01-11
Spain,0.195069,Residential,2019-01-11
Spain,0.833435,Total,2019-01-11
Spain,0.011958,"Domestic Aviation",2019-01-12
Spain,0.147633,"Ground Transport",2019-01-12
Spain,0.155736,Industry,2019-01-12
Spain,0.021664,"International Aviation",2019-01-12
Spain,0.141306,Power,2019-01-12
Spain,0.182160,Residential,2019-01-12
Spain,0.638793,Total,2019-01-12
Spain,0.013935,"Domestic Aviation",2019-01-13
Spain,0.098925,"Ground Transport",2019-01-13
Spain,0.146270,Industry,2019-01-13
Spain,0.021356,"International Aviation",2019-01-13
Spain,0.132718,Power,2019-01-13
Spain,0.170867,Residential,2019-01-13
Spain,0.562715,Total,2019-01-13
Spain,0.014446,"Domestic Aviation",2019-01-14
Spain,0.253893,"Ground Transport",2019-01-14
Spain,0.193713,Industry,2019-01-14
Spain,0.018356,"International Aviation",2019-01-14
Spain,0.175764,Power,2019-01-14
Spain,0.155904,Residential,2019-01-14
Spain,0.793720,Total,2019-01-14
Spain,0.013283,"Domestic Aviation",2019-01-15
Spain,0.258391,"Ground Transport",2019-01-15
Spain,0.226754,Industry,2019-01-15
Spain,0.016434,"International Aviation",2019-01-15
Spain,0.205744,Power,2019-01-15
Spain,0.164129,Residential,2019-01-15
Spain,0.868300,Total,2019-01-15
Spain,0.011953,"Domestic Aviation",2019-01-16
Spain,0.261447,"Ground Transport",2019-01-16
Spain,0.227135,Industry,2019-01-16
Spain,0.014990,"International Aviation",2019-01-16
Spain,0.206090,Power,2019-01-16
Spain,0.167274,Residential,2019-01-16
Spain,0.873899,Total,2019-01-16
Spain,0.014049,"Domestic Aviation",2019-01-17
Spain,0.256473,"Ground Transport",2019-01-17
Spain,0.206773,Industry,2019-01-17
Spain,0.017818,"International Aviation",2019-01-17
Spain,0.187615,Power,2019-01-17
Spain,0.167163,Residential,2019-01-17
Spain,0.832072,Total,2019-01-17
Spain,0.015222,"Domestic Aviation",2019-01-18
Spain,0.267059,"Ground Transport",2019-01-18
Spain,0.219478,Industry,2019-01-18
Spain,0.018395,"International Aviation",2019-01-18
Spain,0.199142,Power,2019-01-18
Spain,0.176972,Residential,2019-01-18
Spain,0.877873,Total,2019-01-18
Spain,0.012141,"Domestic Aviation",2019-01-19
Spain,0.179667,"Ground Transport",2019-01-19
Spain,0.160918,Industry,2019-01-19
Spain,0.021567,"International Aviation",2019-01-19
Spain,0.146008,Power,2019-01-19
Spain,0.169587,Residential,2019-01-19
Spain,0.668321,Total,2019-01-19
Spain,0.013939,"Domestic Aviation",2019-01-20
Spain,0.124267,"Ground Transport",2019-01-20
Spain,0.131367,Industry,2019-01-20
Spain,0.020818,"International Aviation",2019-01-20
Spain,0.119196,Power,2019-01-20
Spain,0.155145,Residential,2019-01-20
Spain,0.543914,Total,2019-01-20
Spain,0.014571,"Domestic Aviation",2019-01-21
Spain,0.261561,"Ground Transport",2019-01-21
Spain,0.189144,Industry,2019-01-21
Spain,0.018394,"International Aviation",2019-01-21
Spain,0.171619,Power,2019-01-21
Spain,0.170026,Residential,2019-01-21
Spain,0.806920,Total,2019-01-21
Spain,0.013162,"Domestic Aviation",2019-01-22
Spain,0.258863,"Ground Transport",2019-01-22
Spain,0.179546,Industry,2019-01-22
Spain,0.017050,"International Aviation",2019-01-22
Spain,0.162910,Power,2019-01-22
Spain,0.175533,Residential,2019-01-22
Spain,0.790013,Total,2019-01-22
Spain,0.013748,"Domestic Aviation",2019-01-23
Spain,0.261456,"Ground Transport",2019-01-23
Spain,0.127147,Industry,2019-01-23
Spain,0.017215,"International Aviation",2019-01-23
Spain,0.115367,Power,2019-01-23
Spain,0.141314,Residential,2019-01-23
Spain,0.659032,Total,2019-01-23
Spain,0.014231,"Domestic Aviation",2019-01-24
Spain,0.263271,"Ground Transport",2019-01-24
Spain,0.159706,Industry,2019-01-24
Spain,0.018154,"International Aviation",2019-01-24
Spain,0.144908,Power,2019-01-24
Spain,0.135937,Residential,2019-01-24
Spain,0.718053,Total,2019-01-24
Spain,0.015401,"Domestic Aviation",2019-01-25
Spain,0.268202,"Ground Transport",2019-01-25
Spain,0.164507,Industry,2019-01-25
Spain,0.018078,"International Aviation",2019-01-25
Spain,0.149265,Power,2019-01-25
Spain,0.136699,Residential,2019-01-25
Spain,0.734074,Total,2019-01-25
Spain,0.012050,"Domestic Aviation",2019-01-26
Spain,0.176567,"Ground Transport",2019-01-26
Spain,0.137050,Industry,2019-01-26
Spain,0.021618,"International Aviation",2019-01-26
Spain,0.124352,Power,2019-01-26
Spain,0.146396,Residential,2019-01-26
Spain,0.596414,Total,2019-01-26
Spain,0.014148,"Domestic Aviation",2019-01-27
Spain,0.120741,"Ground Transport",2019-01-27
Spain,0.097177,Industry,2019-01-27
Spain,0.022611,"International Aviation",2019-01-27
Spain,0.088173,Power,2019-01-27
Spain,0.148419,Residential,2019-01-27
Spain,0.468659,Total,2019-01-27
Spain,0.011304,"Domestic Aviation",2019-01-28
Spain,0.261082,"Ground Transport",2019-01-28
Spain,0.127189,Industry,2019-01-28
Spain,0.015843,"International Aviation",2019-01-28
Spain,0.115404,Power,2019-01-28
Spain,0.148024,Residential,2019-01-28
Spain,0.663003,Total,2019-01-28
Spain,0.013132,"Domestic Aviation",2019-01-29
Spain,0.259309,"Ground Transport",2019-01-29
Spain,0.156250,Industry,2019-01-29
Spain,0.017381,"International Aviation",2019-01-29
Spain,0.141772,Power,2019-01-29
Spain,0.150315,Residential,2019-01-29
Spain,0.720779,Total,2019-01-29
Spain,0.013827,"Domestic Aviation",2019-01-30
Spain,0.260703,"Ground Transport",2019-01-30
Spain,0.157544,Industry,2019-01-30
Spain,0.016815,"International Aviation",2019-01-30
Spain,0.142947,Power,2019-01-30
Spain,0.149710,Residential,2019-01-30
Spain,0.724732,Total,2019-01-30
Spain,0.014301,"Domestic Aviation",2019-01-31
Spain,0.262888,"Ground Transport",2019-01-31
Spain,0.122049,Industry,2019-01-31
Spain,0.017932,"International Aviation",2019-01-31
Spain,0.110740,Power,2019-01-31
Spain,0.125518,Residential,2019-01-31
Spain,0.635495,Total,2019-01-31
Spain,0.015244,"Domestic Aviation",2019-02-01
Spain,0.267502,"Ground Transport",2019-02-01
Spain,0.145318,Industry,2019-02-01
Spain,0.018924,"International Aviation",2019-02-01
Spain,0.106898,Power,2019-02-01
Spain,0.144172,Residential,2019-02-01
Spain,0.679134,Total,2019-02-01
Spain,0.012121,"Domestic Aviation",2019-02-02
Spain,0.166054,"Ground Transport",2019-02-02
Spain,0.131815,Industry,2019-02-02
Spain,0.021878,"International Aviation",2019-02-02
