Area,"CO2 (Mt)",Sector,Date
"United States",0.377226,"Domestic Aviation",2019-01-01
"United States",3.417112,"Ground Transport",2019-01-01
"United States",2.755599,Industry,2019-01-01
"United States",0.192096,"International Aviation",2019-01-01
"United States",3.970850,Power,2019-01-01
"United States",2.638570,Residential,2019-01-01
"United States",13.159356,Total,2019-01-01
"United States",0.465117,"Domestic Aviation",2019-01-02
"United States",4.306514,"Ground Transport",2019-01-02
"United States",2.996083,Industry,2019-01-02
"United States",0.206229,"International Aviation",2019-01-02
"United States",4.627528,Power,2019-01-02
"United States",3.173766,Residential,2019-01-02
"United States",15.569008,Total,2019-01-02
"United States",0.498628,"Domestic Aviation",2019-01-03
"United States",4.448017,"Ground Transport",2019-01-03
"United States",2.939060,Industry,2019-01-03
"United States",0.219479,"International Aviation",2019-01-03
"United States",4.453852,Power,2019-01-03
"United States",2.984913,Residential,2019-01-03
"United States",15.324470,Total,2019-01-03
"United States",0.483353,"Domestic Aviation",2019-01-04
"United States",4.623377,"Ground Transport",2019-01-04
"United States",2.924263,Industry,2019-01-04
"United States",0.222405,"International Aviation",2019-01-04
"United States",4.362337,Power,2019-01-04
"United States",2.819799,Residential,2019-01-04
"United States",15.213128,Total,2019-01-04
"United States",0.439722,"Domestic Aviation",2019-01-05
"United States",4.416209,"Ground Transport",2019-01-05
"United States",2.819004,Industry,2019-01-05
"United States",0.225730,"International Aviation",2019-01-05
"United States",4.040544,Power,2019-01-05
"United States",2.608044,Residential,2019-01-05
"United States",14.323523,Total,2019-01-05
"United States",0.421437,"Domestic Aviation",2019-01-06
"United States",3.955238,"Ground Transport",2019-01-06
"United States",2.562150,Industry,2019-01-06
"United States",0.230217,"International Aviation",2019-01-06
"United States",3.452323,Power,2019-01-06
"United States",2.510532,Residential,2019-01-06
"United States",12.901680,Total,2019-01-06
"United States",0.444809,"Domestic Aviation",2019-01-07
"United States",4.249242,"Ground Transport",2019-01-07
"United States",2.711896,Industry,2019-01-07
"United States",0.218505,"International Aviation",2019-01-07
"United States",3.889696,Power,2019-01-07
"United States",2.573992,Residential,2019-01-07
"United States",13.869636,Total,2019-01-07
"United States",0.465250,"Domestic Aviation",2019-01-08
"United States",4.258302,"Ground Transport",2019-01-08
"United States",2.726247,Industry,2019-01-08
"United States",0.211190,"International Aviation",2019-01-08
"United States",3.794555,Power,2019-01-08
