YearMonth,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,Total
2019-01,0.918784,13.697884,9.752546,0.30478,4.374722,3.052012,31.795942
2019-02,0.7974640000000001,13.31476,9.897022999999999,0.280617,6.442452,3.052,33.503704
2019-03,0.834094,14.439247,10.108868,0.29467899999999997,5.641184,3.052012,34.075399
2019-04,0.770014,14.163522,10.595881,0.265858,4.708116,3.05202,33.289547
2019-05,0.749465,14.790308,11.468466,0.271735,4.334157,3.052012,34.394405
2019-06,0.736879,14.064471000000001,10.723462,0.271042,4.047162,3.05202,32.623985
2019-07,0.888947,14.699524,11.662022,0.288815,7.148273,3.052012,37.450777
2019-08,0.830553,14.628955000000001,11.959315,0.283142,8.580644,3.052012,39.051483
2019-09,0.816261,14.085526,11.39849,0.268645,8.447076000000001,3.05202,37.799368
2019-10,0.878814,14.767395,12.12764,0.270781,9.261344,3.052012,40.087208
2019-11,0.878113,14.236884,10.951285,0.26401,9.185529,3.05202,38.303822
2019-12,0.980872,14.279923,9.372962,0.292228,8.031928,3.052012,35.717697
2020-01,1.024398,13.939368,9.904669,0.302677,9.502533,3.052012,37.422979
2020-02,0.878042,13.287903,9.861457,0.276762,5.855763,3.052018,32.935172
2020-03,0.683929,12.241272,9.674206,0.218189,4.620938,3.052012,30.272354
2020-04,0.093359,8.823567,7.230014,0.033784,3.415301,3.05202,22.614255
2020-05,0.12032,9.731634,8.752003,0.046601,3.606547,3.052012,25.262512
2020-06,0.170143,11.396746,9.693045,0.051831999999999996,4.218074,3.05202,28.530017
2020-07,0.269579,12.413591,11.296259,0.061322,3.926536,3.052012,30.95797
2020-08,0.348705,12.53317,11.661416000000001,0.069134,4.136222,3.052012,31.73152
2020-09,0.441192,12.277172,11.969459,0.074402,3.773536,3.05202,31.513363000000002
2020-10,0.5753969999999999,13.038116,12.267005,0.089578,8.928086,3.052012,37.860608
2020-11,0.62012,12.527561,11.40104,0.098923,10.17972,3.05202,37.780454
2020-12,0.757767,12.817273,10.332041,0.120604,10.379772,3.052012,37.338861
2021-01,0.806453,11.833268,10.166526,0.117947,10.270755,3.052012,36.129011
2021-02,0.605191,12.039089,9.975921,0.095892,6.964697,3.052,32.636909
2021-03,0.533167,13.057029,10.83029,0.108236,7.145791,3.052012,34.618286
2021-04,0.385757,13.031468,10.145313,0.105555,7.226037,3.05202,33.840585
2021-05,0.489691,14.217731,11.025805,0.12041299999999999,8.497899,3.052012,37.283133
2021-06,0.577558,13.641792,10.977999,0.115262,11.731364,3.05202,39.98072
2021-07,0.772293,14.12834,11.520423000000001,0.128993,13.1619,3.052012,42.634965
2021-08,0.747635,14.230978,11.610923,0.128386,13.7784,3.052012,43.419944
2021-09,0.778983,13.708473,11.374255,0.12908,13.099127,3.05202,42.012848
2021-10,0.814297,14.322564999999999,11.264301,0.140106,14.191944,3.052012,43.645114
2021-11,0.853097,13.931793,10.786213,0.155537,12.44686,3.05202,41.069973
2021-12,0.976303,14.223078,9.725272,0.177402,9.719111,3.052012,37.695771
2022-01,0.94248,13.026094,9.578317,0.192501,7.7794609999999995,3.052012,34.378367
2022-02,0.727771,12.974113000000001,9.688904,0.177728,5.016757,3.052,31.459555
2022-03,0.824967,14.587133,10.589257,0.193109,4.45932,3.052012,33.512687
2022-04,0.798622,13.919874,10.146387,0.190273,2.80803,3.05202,30.724923
2022-05,0.855977,14.617407,11.167838,0.199848,3.914531,3.052012,33.607762
2022-06,0.8016,13.842377,10.999783,0.197599,5.173664,3.05202,33.86944
2022-07,0.960742,14.309341,11.538294,0.215152,5.019186,3.052012,34.879572
2022-08,0.894488,14.819672,11.968257,0.211065,5.140488,3.052012,35.874914
2022-09,0.864077,14.283418000000001,11.349941,0.206636,5.075998,3.05202,34.625441
2022-10,0.914586,14.640403000000001,11.249908,0.214029,4.969813,3.052012,34.826718
2022-11,0.892418,14.094988,10.951776,0.231682,4.604218,3.05202,33.595414
2022-12,0.993414,14.183231,9.702746,0.248269,3.9651899999999998,3.052012,31.896586
2023-01,1.025778,13.57672,9.576119,0.25307,3.427417,3.052012,30.658048
2023-02,0.835507,12.726774,9.3189,0.222954,2.626347,3.052,28.559537
2023-03,0.925337,14.910137,10.653851,0.240845,3.123365,3.052012,32.664698
2023-04,0.8699209999999999,13.808088,9.786084,0.230376,3.766536,3.05202,31.282636
2023-05,0.923446,14.628858,11.216299,0.236765,3.975202,3.052012,33.795813
2023-06,0.89111,14.192746,10.810239,0.235046,5.291236,3.05202,34.237336
2023-07,0.988669,14.259152,11.192618,0.25332,4.864364,3.052012,34.356806
2023-08,0.957913,14.754359,11.971934,0.245607,4.832565,3.052012,35.568779
2023-09,0.904022,13.831832,11.258966000000001,0.240373,4.442343,3.05202,33.489177
