YearMonth,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,Total
2019-01,4.911835,77.915176,296.856586,1.602896,422.409183,115.879344,917.972126
2019-02,5.002104,71.375952,225.808958,1.61686,349.245309,101.844457,753.276786
2019-03,5.089571,78.479533,333.186365,1.841682,372.888391,76.591316,866.235172
2019-04,4.9655569999999996,75.616828,354.103134,1.84752,346.009494,55.388466,836.083481
2019-05,5.198273,78.168032,373.18755699999997,1.902726,329.567783,44.968737,831.090387
2019-06,5.043793,75.474577,363.83558800000003,1.869742,357.603112,41.586209,843.543282
2019-07,5.567865,78.121643,357.737784,1.986357,400.548563,41.274746,883.250599
2019-08,5.515442,78.140033,359.97064,1.962099,413.816991,41.344523,898.787636
2019-09,5.235986,75.498014,358.198374,1.862602,366.294181,43.316978,848.543536
2019-10,5.428263,78.595594,355.47488599999997,1.878571,343.98328200000003,56.326922,839.80895
2019-11,5.229161,77.066476,365.69797,1.810902,388.451481,78.602423,915.047511
2019-12,5.270661,79.543288,357.647668,1.884733,478.198227,107.256271,1027.916116
2020-01,5.299776,63.423559,262.758401,1.864349,416.400147,112.793847,860.67573
2020-02,1.366883,32.967351,217.247029,0.783065,267.179149,94.25383000000001,613.014239
2020-03,2.037364,58.895468,314.135644,0.658539,339.024747,75.280745,789.373967
2020-04,2.179186,63.418213,366.993455,0.795449,344.661521,59.426481,836.678849
2020-05,3.160574,69.704399,392.288965,1.172392,365.69088,44.496849,875.341665
2020-06,3.589944,70.9879,383.579381,0.895482,376.32593099999997,41.602135,876.085287
2020-07,4.727537,74.847654,376.551881,0.762504,402.424368,41.209436,899.7608759999999
2020-08,5.41748,75.448544,390.568569,0.694825,450.431466,41.407319,963.27338
2020-09,5.433321,75.270239,392.026709,0.721641,363.805248,43.776146,880.311655
2020-10,5.753614,73.277404,396.351852,0.759512,344.135156,58.855295,878.373319
2020-11,5.5087340000000005,74.436598,399.972803,0.9159,411.303843,78.558853,969.780828
2020-12,5.569335,76.270851,391.267697,0.928352,573.689478,116.449246,1163.246609
2021-01,4.375023,75.805468,371.864599,0.856832,505.000234,118.575389,1075.620708
2021-02,3.352183,62.4659,238.603339,0.676185,323.641716,86.597826,714.660966
2021-03,5.878076,76.264152,386.586581,0.808247,439.457861,75.14474,983.331412
2021-04,6.14135,74.681892,407.51979,0.802921,393.234562,57.766001,939.343597
2021-05,6.064248,79.24036100000001,412.42071,0.8369800000000001,392.055751,44.888271,934.66934
2021-06,5.035281,75.093228,391.232097,0.806723,425.620209,41.670579000000004,938.65139
2021-07,5.954835,76.988816,366.15354,0.803426,462.385129,41.120808,952.60312
2021-08,3.4278779999999998,76.600657,368.52287,0.793936,457.962848,41.441819,947.9560730000001
2021-09,4.864238,77.139802,345.956571,0.832817,402.825489,42.907015,873.693114
2021-10,5.0826459999999996,78.91511799999999,336.704208,0.886385,373.516128,59.750203,853.968304
2021-11,3.062678,75.691556,339.590447,0.948279,408.990935,82.078495,909.414115
2021-12,3.743469,78.59715800000001,367.519164,0.935619,491.77790500000003,106.590336,1048.22803
2022-01,4.260583,76.16035600000001,342.006843,0.788258,543.769225,115.555662,1081.752677
2022-02,4.16889,65.28907,219.183432,0.604536,358.8218,107.759366,755.2225549999999
2022-03,2.251124,74.967855,363.244179,0.751131,420.78806,73.129494,934.380709
2022-04,1.276862,67.142213,371.448154,0.638678,351.734347,55.397883,846.999461
2022-05,1.851479,68.182359,383.954827,0.679086,353.632797,46.418791,854.040251
2022-06,2.961654,73.748312,378.747671,0.724505,395.737609,41.542524,892.737765
2022-07,4.438126,77.731094,347.01101,0.686422,499.580337,41.138191,969.898763
2022-08,4.17797,76.977125,356.111605,0.664905,545.087377,41.561762,1023.915847
2022-09,2.646377,75.116603,374.052839,0.690214,433.622587,43.268305,928.706713
2022-10,2.197093,76.994906,356.618108,0.695196,379.940056,58.664534,874.414699
