YearMonth,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,Total
2019-01,0.188002,9.471257,5.121369,0.607531,4.220002,11.870781000000001,30.871408
2019-02,0.169461,8.939031,5.016937,0.574201,3.376404,9.208289,26.710126
2019-03,0.189383,9.764795,5.479892,0.6634329999999999,2.395897,8.396765,26.226732000000002
2019-04,0.196161,9.535299,5.273439,0.70802,1.611351,7.225639,23.841896
2019-05,0.187053,9.698542,5.180079,0.748141,1.483731,5.9770010000000005,22.52641
2019-06,0.199739,9.485003,5.219543,0.792814,1.341139,3.511396,19.75681
2019-07,0.23030899999999999,9.920745,5.4207,0.840804,2.113506,2.734456,20.419715
2019-08,0.215893,9.904507,3.8908329999999998,0.838757,1.574912,2.85399,18.440134
2019-09,0.191816,9.497545,5.361506,0.761456,2.097941,3.7017860000000002,20.850594
2019-10,0.188639,10.088328,5.741685,0.728808,2.358475,5.506887,23.884012
2019-11,0.174259,10.03606,5.136767,0.608754,3.839665,9.086537,28.273289
2019-12,0.196177,10.278293,4.823961,0.658408,3.020584,9.796871,28.115886
2020-01,0.201241,10.136500999999999,5.065063,0.639279,3.9522,10.286775,29.641779
2020-02,0.181511,9.313499,5.003463,0.580055,2.822253,8.538843,25.859572
2020-03,0.134735,7.278376,4.490944,0.409252,2.640903,8.964887000000001,23.509845
2020-04,0.016918,4.712391,3.198806,0.086587,0.480223,5.616016,14.02436
2020-05,0.029627,7.123291,3.565995,0.128719,0.977475,4.537076,16.233462
2020-06,0.064156,9.617464,4.817705,0.150744,1.848619,3.652089,20.000035
2020-07,0.140405,9.947487,4.788348,0.24054799999999998,1.954043,2.846678,19.676966
2020-08,0.17372,9.229688,3.485628,0.293639,1.916633,2.89846,17.704124
2020-09,0.138269,10.083055,5.175745,0.26481699999999997,2.03471,3.740456,21.172228
2020-10,0.142687,10.065275,5.269588,0.267857,1.829657,6.581423,23.888626
2020-11,0.092298,7.798648,5.010684,0.229455,3.222592,8.082121,24.206343
2020-12,0.150236,9.789434,4.758512,0.278454,3.37678,10.279134,28.354098
2021-01,0.160289,9.854085,4.614618,0.259181,3.725121,11.695644,30.049755
2021-02,0.105681,9.041451,4.563123,0.218726,2.9558619999999998,9.087785,25.753906
2021-03,0.095289,9.920734,5.366804,0.247923,2.989335,9.230067,27.602224
2021-04,0.092759,8.885166,4.855721,0.234757,2.197728,8.177565,24.208945
2021-05,0.109695,9.928509,4.530883,0.260318,0.95773,6.187437,21.714255
2021-06,0.147757,10.097316,5.315309,0.31655500000000003,1.157836,3.170334,19.888556
2021-07,0.231081,9.935567,4.820591,0.464979,1.177105,2.972327,19.136672
2021-08,0.218846,9.115142,3.744534,0.49454,0.693582,3.155774,16.927879
2021-09,0.151456,10.30522,5.073725,0.442037,1.426405,3.473325,20.430123
2021-10,0.168778,10.604329,5.085756,0.455451,1.531406,6.463417,23.853687
2021-11,0.164069,10.161187,4.908661,0.457806,3.804359,9.688693,28.726966
2021-12,0.19833800000000001,10.370688,4.868235,0.482519,3.695275,10.31683,29.449366
2022-01,0.18152,9.704939,4.713278,0.434548,3.980268,11.630749,30.210752
2022-02,0.157808,9.170533,4.687288,0.402682,2.992554,8.980409,25.98859
2022-03,0.174815,10.364443,5.412997,0.497756,3.4776350000000003,8.424435,27.854326
2022-04,0.191985,9.731176,4.70269,0.555868,2.409255,7.154558,24.189657
2022-05,0.185089,10.217183,4.927424,0.613522,2.106048,4.169976,21.605719
2022-06,0.178426,9.949492,5.318678,0.634486,1.805682,3.077561,20.329836
2022-07,0.237908,9.59518,4.658895,0.708403,2.2810449999999998,2.723331,19.496361
2022-08,0.232322,9.011095,3.867256,0.708816,2.160355,2.655897,17.926922
2022-09,0.170512,10.19634,5.313861,0.646222,2.310148,4.207918,22.198781
2022-10,0.185096,10.338471,5.098267,0.637614,2.714049,4.260001,22.595883
2022-11,0.16587,10.179718,5.1377299999999995,0.554979,3.26009,7.889563,26.632966
2022-12,0.192733,10.346322,4.922615,0.60425,3.599856,10.646016,29.707539
2023-01,0.181702,10.31768,4.863421,0.569497,3.158207,10.693063,29.214072
2023-02,0.163381,9.227453,4.789311,0.533464,3.670848,9.871716,27.722707
2023-03,0.168203,10.468022,5.433692,0.59515,2.698881,8.485322,27.25412
2023-04,0.181184,9.759044,4.67526,0.632232,1.365127,7.43793,23.418538
2023-05,0.181134,10.107476,4.832141,0.689417,0.9274209999999999,4.935807,20.983981
2023-06,0.175196,10.265846999999999,5.481815,0.71879,1.320827,2.615737,19.859419
2023-07,0.211094,10.041276,4.7917190000000005,0.802298,1.390336,2.901824,19.33624
2023-08,0.209504,9.148093,3.883617,0.802866,1.296527,2.96601,17.503748
2023-09,0.171886,10.104937,5.112226,0.733485,1.022251,2.820715,19.232006
2023-10,0.176118,10.455238,5.308569,0.72797,0.999619,4.985777,21.925329
2023-11,0.161884,10.107175999999999,5.253231,0.625887,2.052637,8.37013,25.945055
2023-12,0.184485,10.180769,4.65986,0.67387,2.262738,9.634538,26.92239
2024-01,0.174541,10.069058,4.880266,0.601786,2.770541,11.125691999999999,29.020098
2024-02,0.157332,9.571133,4.960151,0.574671,1.938234,8.38454,25.01139
2024-03,0.168821,10.195692,5.209433,0.651545,1.811108,8.35812,25.743176000000002
2024-04,0.17412,9.816715,5.065539,0.695146,0.527025,6.896226,22.479636
2024-05,0.173605,10.023662,4.663706,0.753686,0.357929,5.181311,20.400217
2024-06,0.165979,10.001374,5.139654,0.781276,0.376365,3.753318,19.436684
