YearMonth,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,Total
2019-01,0.157567,12.125426000000001,9.999774,0.9114990000000001,27.579769,22.668169,72.530705
2019-02,0.161552,11.172325,10.197205,0.851343,23.993475,16.913737,62.438295000000004
2019-03,0.182632,12.629941,11.056021,1.002743,18.210138,15.434132,57.512866
2019-04,0.17274,12.315745,10.37489,1.029874,19.439639,11.499024,53.802043
2019-05,0.191973,12.957634,10.848718,1.080279,18.758763000000002,10.243209,53.000301
2019-06,0.182184,12.427657,9.881318,1.110939,15.766109,2.809446,41.066713
2019-07,0.184464,13.029333,10.759877,1.164311,19.072062,3.322947,46.368676
2019-08,0.179217,12.967874,9.614793,1.160053,18.232505,2.762553,43.756935999999996
2019-09,0.192313,12.474326,10.680904,1.129759,17.488812,6.382288,47.218646
2019-10,0.191725,13.146393,10.75988,1.137762,20.735306,10.362839000000001,55.196138
2019-11,0.168194,12.891261,10.710521,0.9467,25.306383,16.86678,65.943137
2019-12,0.159531,12.34348,9.170574,0.939214,18.634247,18.948558,59.256381
2020-01,0.15879,12.530823,9.664143,0.921263,21.11446,19.280977,62.749197
2020-02,0.15762400000000001,12.044188,9.970162,0.85073,13.178996,16.099509,51.450477
2020-03,0.102087,11.575644,10.216948,0.645559,15.333632,16.973806,54.202122
2020-04,0.030475,10.355516,7.166671,0.252026,10.405534,10.37911,38.337304
2020-05,0.051531,12.019829,7.778702,0.29223,11.342549,8.89256,40.085167
2020-06,0.075855,12.727575,9.26929,0.283735,14.036677000000001,4.02439,40.133783
2020-07,0.100644,13.341504,9.644404,0.403753,15.362602,3.407263,41.856418
2020-08,0.113098,13.207403,8.311759,0.461659,17.448955,2.886996,41.968215
2020-09,0.12332,13.120886,10.236688000000001,0.426373,19.611196,5.744063,48.836159
2020-10,0.100101,13.357061,10.453862,0.43325400000000003,20.174534,11.228694,55.314253
2020-11,0.083649,12.474232,10.750005,0.405924,23.846874,15.525139,62.6799
2020-12,0.071454,12.383068,9.555559,0.436731,22.758921,19.687588,64.456593
2021-01,0.06025,12.282878,8.71649,0.399252,25.111665,22.594341,68.76562
2021-02,0.065316,11.522047,9.604919,0.352427,18.91145,19.234017,59.337748
2021-03,0.083393,12.767092,11.47062,0.417836,19.677243,17.617791,61.616136000000004
2021-04,0.091783,12.07138,9.920804,0.448983,17.977193,15.773831,55.834992
2021-05,0.090745,12.41975,9.437102,0.490296,13.421082,10.744755,46.113436
2021-06,0.111924,12.4592,10.305791,0.539418,18.37245,2.948325,44.197691
2021-07,0.125742,12.947003,9.891189,0.694703,17.484477,2.861884,43.310295
2021-08,0.127384,12.907866,8.696746,0.739987,15.727583,4.280518,41.7401
2021-09,0.147315,12.941751,10.068876,0.730995,22.473124,5.251578,50.88265
2021-10,0.154202,13.230409,9.920804,0.77559,20.651103,11.829358000000001,55.785872
2021-11,0.142545,12.590705999999999,10.70065,0.709003,25.491773,17.320367,66.246043
2021-12,0.116823,12.279456,9.723375,0.743669,24.737075,20.13395,66.990681
2022-01,0.105582,11.686876,8.973144,0.6692670000000001,24.627498,20.244177,65.637278
2022-02,0.109521,11.199487,9.693762,0.584477,17.81007,16.47496,55.287797
2022-03,0.145703,12.659682,10.82898,0.721226,25.747953,16.951457,66.333776
2022-04,0.15085,12.049203,9.210059,0.83921,19.215856,13.617288,54.243253
2022-05,0.161209,13.021969,10.059002,0.910031,17.026155,6.3504000000000005,46.61874
2022-06,0.147765,12.270879,10.059002,0.939843,18.321768,3.336792,44.136209
2022-07,0.134158,12.556047,9.40749,0.98982,20.629434,2.923397,45.650527
2022-08,0.146584,12.72668,9.279162,1.00301,21.007638,2.411274,45.571333
2022-09,0.149252,12.89953,10.720393,0.956432,21.135146,7.434397,52.338713999999996
