YearMonth,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,Total
2019-01,0.610029,26.095913,64.383445,0.421516,104.380014,44.019338,239.488738
2019-02,0.557944,23.769772,61.437487,0.418176,94.38415,22.624038,202.773386
2019-03,0.58757,25.515286,68.707351,0.436353,110.538679,13.29557,218.644455
2019-04,0.544099,24.900557,59.96451,0.38994,108.71862,9.836288,203.96407
2019-05,0.594057,25.339847,64.525991,0.398377,113.02920400000001,9.275868000000001,212.764967
2019-06,0.593528,24.090823,61.294942,0.38851399999999997,107.879055,8.625527,202.483878
2019-07,0.601322,24.94824,63.528167,0.405162,99.518558,8.142599,196.738885
2019-08,0.601971,24.996723,61.009846,0.412736,91.310132,8.130782,186.04946
2019-09,0.585468,24.100875000000002,59.869477,0.415337,90.264685,8.297069,183.117583
2019-10,0.640945,24.972275,60.012024,0.437173,88.899217,9.836148,184.360606
2019-11,0.628753,24.942076,62.055191,0.445687,90.462785,12.010739000000001,190.09955
2019-12,0.650068,25.957332,64.33593,0.471537,98.257997,49.958758,239.160086
2020-01,0.647853,26.13869,65.523818,0.470675,104.197817,49.844268,246.352445
2020-02,0.611979,24.219217999999998,63.765744,0.42684500000000003,102.471552,24.402061,215.470555
2020-03,0.466472,18.95292,53.02725,0.274921,95.882588,12.607083,180.936317
2020-04,0.009867,8.56404,20.004009,0.045071,75.675202,10.168995,114.42211
2020-05,0.039108,16.624312,40.103045,0.077819,89.260817,9.163966,155.191248
2020-06,0.162693,20.070856,50.889055,0.129468,88.37969,8.442031,167.94432799999998
2020-07,0.174654,23.155926,56.305817,0.15401,97.139244,8.119059,184.894703
2020-08,0.204094,24.390336,56.400849,0.164477,89.478585,8.058765,178.53262900000001
2020-09,0.278366,24.076823,60.107055,0.181099,96.914086,8.402316,189.778645
2020-10,0.348586,24.679369,62.720404,0.186668,102.079952,9.48334,199.311644
2020-11,0.378993,22.956257,61.057361,0.194661,94.539748,14.613643,193.546001
2020-12,0.450782,24.331651,66.046487,0.217255,104.563766,38.312564,233.705252
2021-01,0.48079,24.784736,64.906114,0.21928,112.201502,46.730945,249.104084
2021-02,0.454583,23.017902,61.627546,0.210501,105.22824,17.090476,207.418756
2021-03,0.503885,24.416046,68.08965,0.234814,124.112629,11.115084,228.237292
2021-04,0.423494,18.891717,59.204262,0.222633,119.632141,10.254819,208.406431
2021-05,0.204296,9.808006,52.979735,0.1761,100.515778,9.329558,172.837376
2021-06,0.226397,20.5475,57.588735,0.155258,97.614458,8.447256,184.42434599999999
2021-07,0.326883,24.448646,62.245251,0.17577399999999999,105.247016,8.126653,200.394446
2021-08,0.39605599999999996,24.545351,62.672887,0.205401,109.777775,8.152458,205.544533
2021-09,0.41675,24.651717,62.67289,0.226986,97.211362,8.274885,193.227601
2021-10,0.494302,25.037616,64.811086,0.259199,102.845004,9.657804,202.845809
2021-11,0.552332,23.543866,61.247424,0.256599,96.089405,12.611808,194.044842
2021-12,0.592296,25.220938,66.42661,0.287925,108.550245,34.914775999999996,235.704861
2022-01,0.425272,22.119432,66.141517,0.288866,112.348336,51.888986,252.923548
2022-02,0.384366,22.991449,61.722578,0.257126,108.462151,24.683387,218.243936
2022-03,0.540714,24.508166,69.039961,0.298172,126.503413,10.658523,231.250775
2022-04,0.549161,24.128747,62.530343,0.320959,129.553352,9.260677,226.022278
2022-05,0.578154,24.472383,63.955807,0.355508,125.197197,8.831156,223.034696
2022-06,0.554571,23.872751,65.001145,0.370091,122.288548,8.449633,220.166656
2022-07,0.526736,25.419665,64.14586800000001,0.393226,109.822158,8.051215000000001,207.965637
2022-08,0.54091,25.360314,62.387796,0.391613,109.361459,8.081343,205.731823
2022-09,0.533276,24.403361,63.955804,0.380376,109.31451,8.398489,206.605444
2022-10,0.575524,24.008617,61.057367,0.392196,103.503579,9.812349,198.957432
2022-11,0.559425,24.175713,65.33375699999999,0.397787,111.13487,12.721430999999999,213.925193
2022-12,0.60509,25.160535,68.849898,0.426034,124.036349,30.384337,249.036211
2023-01,0.621161,24.983539,69.134995,0.426579,132.159877,51.125659,278.025226
2023-02,0.573181,22.934411,65.381269,0.38745,123.39592,15.244007,227.528788
2023-03,0.63168,24.20175,70.085299,0.441765,135.095944,11.329208,241.343873
2023-04,0.61005,24.042953999999998,65.951455,0.430484,137.209674,10.208381,238.022508
2023-05,0.617632,25.146285,67.994618,0.445867,136.596405,9.528639,239.883585
2023-06,0.593541,24.20749,67.281889,0.444024,134.321392,8.464862,234.869168
2023-07,0.612476,25.531189,67.519463,0.466769,126.559036,8.138648,228.36082
2023-08,0.621062,25.314651,68.61232,0.458045,134.980257,8.120525,237.648813
2023-09,0.606217,23.849073,67.234375,0.449184,133.397579,8.311119,233.39836400000002
2023-10,0.643654,24.761108,67.519466,0.462107,143.649597,9.899524,246.47335
2023-11,0.630572,21.493502,66.189033,0.46827399999999997,129.193342,11.77111,229.27756300000001
2023-12,0.650206,25.087007,72.033432,0.492337,132.102222,28.165891,258.038766
2024-01,0.63232,24.857167,71.653313,0.499849,146.429959,58.279682,301.852438
2024-02,0.619697,23.713195,68.612321,0.465734,136.043931,21.358879,250.348024
2024-03,0.67481,23.999622,74.21914699999999,0.498708,147.651555,12.490804,259.035942
2024-04,0.659316,23.969186,68.707352,0.471572,152.130389,10.05038,255.516626
2024-05,0.676098,24.890063,71.46325,0.500934,156.548316,9.027966,262.605692
2024-06,0.659806,23.646745,69.65766500000001,0.491039,147.683936,8.402683,250.050835
2024-07,0.665742,25.343995,70.703,0.509108,136.787589,8.06765,241.567974
2024-08,0.678554,25.464775,69.420087,0.50415,127.534847,8.110672,231.20893900000002
2024-09,0.668489,24.829162,69.942756,0.491967,125.164701,8.262538,228.867647
2024-10,0.705653,24.795094,70.512939,0.50852,139.761247,9.313093,245.088032
2024-11,0.682487,23.115473,69.847722,0.501786,129.786588,11.854423,235.286695
2024-12,0.714238,25.05072,74.6943,0.53468,134.74742,32.711603,267.918278
2025-01,0.711408,25.242386,75.787155,0.536475,142.177875,41.338978,285.257812
2025-02,0.658929,22.817304,70.512941,0.47799200000000003,136.488627,15.728817,246.206621
2025-03,0.7368709999999999,23.858498,76.452373,0.527198,151.611084,11.546208,264.205036
2025-04,0.707396,24.605832,70.77473,0.501116,146.594958,9.694555,252.377467
