YearMonth,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,Total
2019-01,0.1407,7.390147,4.432802,0.357476,10.336697000000001,12.873791,35.174139
2019-02,0.130681,6.8810080000000005,4.623359,0.341756,7.56236,9.788763,28.986174
2019-03,0.14246899999999998,7.714729,4.936424,0.406901,7.511115,8.205986,28.510721
2019-04,0.15145,7.4352,4.396503,0.469985,7.005645,6.5737499999999995,25.562545
2019-05,0.162888,7.749909,5.099761,0.509392,6.123318,5.450184,24.586059
2019-06,0.178666,7.359437,4.691419,0.557699,6.998918,2.536818,21.765252
2019-07,0.187273,7.681172,5.181431,0.602241,9.086442,2.463623,24.599935
2019-08,0.182215,7.698697,2.781276,0.59867,7.916365,2.476595,21.055148
2019-09,0.172184,7.342136,4.750399,0.559358,8.434217,2.912313,23.611248
2019-10,0.153336,7.9087,5.0952210000000004,0.5105770000000001,8.494903,4.149892,25.802063
2019-11,0.138642,8.005487,4.632437,0.393961,7.419817,7.49258,27.688958
2019-12,0.146722,7.959289,3.7658370000000003,0.407016,6.989327,10.029198,28.890372
2020-01,0.13983,7.725016,4.305761,0.380389,8.879738,11.429206,32.479552
2020-02,0.129411,7.222903,4.528082,0.335497,7.249336,9.072258,28.20199
2020-03,0.052164,5.53989,3.49361,0.142455,6.113333,9.167194,24.366187
2020-04,0.016554,4.48853,2.422843,0.034428,5.193581,6.046543,18.16805
2020-05,0.023437,5.744568,3.7204639999999998,0.046302,5.237622,3.436337,18.162429
2020-06,0.041044,6.982017,4.124276,0.063201,6.464237,2.868072,20.47964
2020-07,0.104426,7.380826,4.736789,0.140344,8.318933,2.484702,23.025674
2020-08,0.140632,6.626433,2.75405,0.179214,8.140084,2.500133,20.161338
2020-09,0.118442,7.754922,4.641507,0.148384,8.478945,3.075844,24.069666
2020-10,0.112007,7.961909,4.832068,0.133002,6.804706,5.679055,25.389741
2020-11,0.075341,6.922991,4.596139,0.106643,7.68106,7.690205,26.965733
2020-12,0.074424,7.489572,3.815746,0.10183,8.179413,10.797148,30.356304
2021-01,0.058977999999999996,6.9230849999999995,3.933714,0.091215,8.087297,12.287154,31.290229
2021-02,0.041758,7.124896,4.500858,0.087172,6.571363,9.296884,27.53576
2021-03,0.053648,7.326137,5.126985,0.099069,6.864544,9.442748,28.81406
2021-04,0.073907,7.266573,4.664195,0.10863,6.721002,7.485822,26.211497
2021-05,0.084365,8.159504,4.791233,0.122658,5.015789,4.323492,22.374384
2021-06,0.139876,7.558081,4.786697,0.173656,6.787885,2.55605,21.828585
2021-07,0.185833,7.662383,4.986334,0.263133,8.152784,2.510399,23.497731
2021-08,0.204817,6.355671,2.908316,0.292902,6.758086,2.564912,18.791804
2021-09,0.169646,8.005552,4.936426,0.276927,8.349479,2.743672,24.204772000000002
2021-10,0.148895,8.29759,4.800307,0.263667,7.686202,5.579307,26.512305
2021-11,0.138599,8.05935,4.89559,0.229207,9.754677,7.715056,30.563269
2021-12,0.145926,7.905524,4.119737,0.246338,9.558776,11.268237000000001,32.998202
2022-01,0.12617899999999999,6.905155,3.933713,0.211109,9.572233,11.852697000000001,32.389976
2022-02,0.113344,7.107394,4.664193,0.190915,8.48755,9.538993,29.911474
2022-03,0.14149799999999998,7.915411,5.34023,0.249979,9.419163,9.891062999999999,32.707361
