YearMonth,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,Total
2019-01,0.724558,15.103168,21.274803,0.715225,53.206663,18.776453,109.085647
2019-02,0.679299,13.632046,22.157907,0.732728,46.814688,15.769028,99.052973
2019-03,0.760176,15.071488,24.666726999999998,0.825781,44.312023,13.892993,98.703406
2019-04,0.717894,14.663451,22.358611,0.817651,37.752258,9.708694,85.200914
2019-05,0.77349,15.180466,21.656141,0.838585,34.696366,4.718952,77.025417
2019-06,0.73573,14.610397,22.458965,0.820555,38.009758,3.856445,79.671299
2019-07,0.783961,15.148239,23.743479999999998,0.860971,44.183611,3.55899,87.418291
2019-08,0.791134,15.164696,20.612473,0.867854,49.653741,3.5265779999999998,89.748622
2019-09,0.748104,14.612267000000001,23.281858,0.823365,45.260711,3.629941,87.532882
2019-10,0.757084,15.171139,22.238187,0.823037,40.403077,4.987484,83.556979
2019-11,0.754842,14.772316,22.017412,0.819541,40.91553,10.413721,88.873821
2019-12,0.787665,15.09126,22.358612,0.8561840000000001,49.334514,15.473049,103.04509399999999
2020-01,0.79484,14.653296000000001,20.612472,0.854123,49.987699,16.780808,102.829112
2020-02,0.743922,13.760919,20.81318,0.728674,46.04942,15.771478,97.138912
2020-03,0.698402,14.004299,23.382212,0.525359,42.77926,13.221048,94.085211
2020-04,0.340319,12.108223,19.026902,0.217579,34.249973,10.547234,76.272647
2020-05,0.181915,12.389797,16.056454,0.254824,30.365313,4.753538,63.747019
2020-06,0.273002,14.020991,18.38464,0.247431,36.981848,3.664421,73.324905
2020-07,0.46985699999999997,14.537484,19.889934,0.257155,42.050496,3.541392,80.489168
2020-08,0.599003,14.188241,17.642031,0.260831,50.843671,3.5246560000000002,86.797602
2020-09,0.397801,14.298557,20.993812,0.286175,43.994402,3.662052,83.346624
2020-10,0.481744,14.742004,21.314942,0.314668,41.045351,6.197258,83.781301
2020-11,0.551339,14.159799,21.033957,0.346904,43.150133,9.722521,88.617746
2020-12,0.603155,14.701146,21.656141,0.380602,54.091803999999996,17.022782,108.075023
2021-01,0.433204,13.882796,19.548734,0.35765,57.398658,19.376746999999998,110.640146
2021-02,0.255709,13.443291,20.351556,0.32077,46.196171,15.254764,95.501489
2021-03,0.422802,15.108355,24.124822,0.394426,41.974446,11.875727,93.506154
2021-04,0.49938899999999997,14.117426,21.756494,0.384197,33.708071,8.668963999999999,78.750339
2021-05,0.437377,14.006378,19.147321,0.370146,31.569516,4.926947,70.087542
2021-06,0.412919,13.906309,22.418824,0.36447,36.005995,3.656766,76.400813
2021-07,0.510557,14.532018,22.057551,0.378401,44.206961,3.523284,84.83038499999999
2021-08,0.601943,14.168636,19.147323,0.368239,43.608398,3.542458,81.068761
2021-09,0.498166,14.07028,20.692753,0.37788,36.614307,3.663679,75.53918
2021-10,0.532596,14.879304,20.512121,0.400646,38.610493,6.1266300000000005,80.661142
2021-11,0.602678,14.618497,22.097694,0.41043,40.466858,10.174889,87.960617
2021-12,0.698392,15.356304,22.077625,0.409996,48.402151,16.641039,103.175511
2022-01,0.679527,14.964642,19.408238,0.391531,54.649198,19.76602,109.467625
2022-02,0.458275,13.661463000000001,20.351556,0.342516,49.84483,18.100018,102.416136
2022-03,0.635796,15.433995,23.723409,0.376474,43.603702,13.168137,96.565044
2022-04,0.649261,14.58626,20.732899,0.365261,33.995719,8.058591,78.02273
2022-05,0.721686,14.866216,18.625486,0.362198,32.384829,5.157951,71.756168
2022-06,0.69135,14.686137,21.736423000000002,0.376468,38.83031,3.98405,79.928275
2022-07,0.782492,15.12192,21.656142,0.409165,47.668553,3.516984,88.746092
2022-08,0.815918,14.903136,20.231132,0.415698,47.468485,3.518114,86.936779
2022-09,0.724756,14.762251,22.519178,0.416482,42.169395,3.616593,83.792169
2022-10,0.779775,15.207303,21.154379,0.443166,38.138723999999996,6.264477,81.544653
2022-11,0.7414229999999999,15.099421,21.816706,0.475756,39.360878,8.85805,85.876479
2022-12,0.775487,15.746045,21.616003,0.524576,49.698498,17.294385,105.13041799999999
2023-01,0.749573,15.401002,18.826192,0.521369,50.180008,19.058438,104.215216
2023-02,0.680821,14.126138,20.271273,0.491556,43.972268,16.166356,95.216853
2023-03,0.770655,15.661287999999999,23.542778,0.565901,36.414984,11.414668,87.804373
2023-04,0.733162,14.844541,20.5924,0.616306,28.794046,7.7341560000000005,72.698309
2023-05,0.768763,15.298139,19.388166,0.631712,27.223129,5.161346,67.839546
2023-06,0.731909,14.995173,21.716354,0.63924,32.082681,3.539955,73.066074
2023-07,0.789993,15.501002,21.11424,0.672871,42.83859,3.452365,83.696183
2023-08,0.773245,15.434059,19.287816,0.679043,46.346356,3.385888,85.227367
2023-09,0.761913,15.108145,21.475506,0.663867,44.09035,3.459369,84.895279
2023-10,0.774479,15.629353,21.335015,0.695319,33.879753,5.383388,77.001982
