YearMonth,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,Total
2019-01,1.065853,18.505715,19.433551,0.336324,87.954757,28.188494,155.148367
2019-02,0.991307,17.789308,20.142309,0.316899,76.657354,23.410665,138.99094
2019-03,1.126268,19.54871,22.565783,0.384367,78.103966,19.992536,141.337262
2019-04,1.159437,19.211981,22.748686,0.396899,65.955257,13.565882,122.641249
2019-05,1.294403,19.597601,22.108526,0.45698500000000003,68.424681,7.112968,118.538173
2019-06,1.415945,18.821657,23.800385,0.49059600000000003,61.172042,4.474483,109.68451400000001
2019-07,1.542643,19.752501,24.006153,0.514356,60.257762,4.269288,109.828348
2019-08,1.576602,19.681055,24.463414,0.513516,60.989198,5.069118,111.77939
2019-09,1.462703,18.894392,24.920674,0.494124,58.845117,8.817117,112.940003
2019-10,1.307629,19.994689,26.749715000000002,0.467028,65.235852,12.984403,126.272289
2019-11,1.211686,19.748773,25.12644,0.405409,73.093363,20.960921,140.14118
2019-12,1.267036,20.826221,28.258673,0.402785,83.70956699999999,23.185943,157.247437
2020-01,1.253364,19.642783,20.256619,0.404545,89.150011,23.457224,153.760003
2020-02,1.132096,18.862401000000002,21.71985,0.334679,83.157618,21.513046,146.385011
2020-03,1.198171,18.919768,24.006155,0.288558,78.034097,17.915933,140.074126
2020-04,0.383198,14.19386,21.033964,0.099062,61.448904,14.049145,111.109074
2020-05,0.436493,15.592943,21.079686,0.14171,49.942056,8.096449,95.147627
2020-06,0.863552,17.902117,23.297401,0.094765,47.638485,4.75888,94.460436
2020-07,1.460023,19.070197,24.051879,0.114077,55.069485,3.582837,103.234421
2020-08,1.6954500000000001,19.424789,24.669181000000002,0.154643,55.380138,4.5136709999999995,105.683228
2020-09,1.503131,19.626898,25.034987,0.170697,54.389935,7.52564,108.080589
2020-10,1.269374,20.093468,25.78947,0.168358,60.412908,12.668379,120.233598
2020-11,1.052136,18.899861,25.995235,0.168366,69.99531,19.953318,135.895857
2020-12,1.125745,20.583558,30.933644,0.181702,82.790539,27.420435,162.853919
2021-01,1.154715,19.543546,20.142307,0.150561,86.205733,28.765125,155.811429
2021-02,1.009219,18.959085,21.216866,0.138262,79.814693,27.980223,148.980088
2021-03,1.203778,20.614096,25.080715,0.177558,77.9644,22.565816,147.428802
2021-04,1.351367,20.0448,24.006154,0.19323200000000001,65.62748500000001,13.311379,124.341187
2021-05,1.672424,19.516523,23.503168,0.218961,54.484423,6.9796130000000005,106.15615
2021-06,1.978537,18.146717,25.012125,0.260125,52.318208,4.118289,101.573881
2021-07,2.044367,18.134413,24.829221,0.314452,57.794878,3.407641,106.210514
2021-08,2.053501,18.834803,25.309343000000002,0.32496,61.326326,3.922501,111.446477
2021-09,1.866236,19.060313,26.292453000000002,0.332966,60.895047,9.879826,117.99388
2021-10,1.595145,19.533615,27.161245,0.36038,70.405921,14.497885,133.193812
2021-11,1.357009,19.041042,27.618508,0.308069,75.533979,19.444381,142.994925
2021-12,1.378095,20.738564,32.282561,0.311742,85.810267,26.770528,166.980016
2022-01,1.3348470000000001,18.748783,22.461865,0.295297,86.586256,27.425069999999998,156.556822
2022-02,1.08837,17.383462,22.865235,0.222317,76.981711,21.566143,139.884927
2022-03,1.061402,19.874135,25.292068,0.093844,79.875835,23.114797,149.218234
2022-04,1.058896,19.228615,23.516235,0.071612,65.330236,13.295649,122.429624
2022-05,1.343601,18.32737,22.986099,0.10136200000000001,56.52553,9.420558999999999,108.603157
2022-06,1.6976689999999999,18.295120999999998,24.18936,0.12402,52.801211,4.435736,101.419098
2022-07,1.972796,18.043726,24.947006,0.148618,57.84336,3.487857,106.294744
2022-08,2.037383,18.963496,25.474454,0.160891,62.476483,3.7205019999999998,112.672318
2022-09,1.870667,18.706797,25.657484,0.163361,61.499797,9.117617,116.852361
2022-10,1.506963,19.430257,26.855269,0.17229,69.957035,13.663607,131.413136
2022-11,1.193121,19.686603,27.712929,0.157464,77.157998,21.118315,146.868963
2022-12,1.265997,20.509597,31.307819000000002,0.175326,90.009179,26.738592,169.831185
