YearMonth,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,Total
2019-01,0.425795,6.729916,5.16281,0.59375,4.684452,5.049718,22.052687
2019-02,0.393928,6.368759,5.147419,0.547722,3.786501,4.105918,19.802524000000002
2019-03,0.454346,6.941285,5.507336,0.635828,3.5866860000000003,3.655991,20.145654
2019-04,0.464831,6.61322,5.122085,0.727172,3.815171,3.37617,19.391481
2019-05,0.480709,7.163746,5.761043,0.76427,4.167576,2.413831,19.986901
2019-06,0.496104,6.757412,5.238346,0.824604,4.898151,2.004945,19.394954
2019-07,0.528013,7.248457,5.568288,0.886336,6.1941939999999995,1.835968,21.374926
2019-08,0.517449,7.171049,3.91134,0.881875,5.74981,1.837156,19.186801
2019-09,0.495173,6.849586,5.217252,0.82387,5.020294,1.911789,19.494096
2019-10,0.48257,7.589319,5.748633,0.779627,5.490588,2.430083,21.74119
2019-11,0.437604,7.712076,5.33033,0.606856,4.251325,3.861046,21.592377
2019-12,0.458719,7.6840720000000005,4.533841,0.632507,3.433032,4.217725,20.327393
2020-01,0.422633,7.5977440000000005,4.98469,0.596115,4.259591,4.844145,22.108801
2020-02,0.402799,7.244654,5.150546,0.562171,3.560435,3.700689,20.059127
2020-03,0.262245,5.103784,4.722508,0.392171,2.611903,3.818596,16.519033
2020-04,0.035616,3.097841,3.153251,0.047272,2.450389,3.090039,11.827139
2020-05,0.039857,3.914305,4.008118,0.064565,2.662465,2.175712,12.800455
2020-06,0.081084,5.974363,4.711104,0.059612,3.741318,2.014957,16.522828999999998
2020-07,0.291886,6.972759,5.16735,0.22020800000000001,5.075588,1.839306,19.346888
2020-08,0.416016,5.935526,3.639418,0.28657900000000003,4.602967,1.862289,16.456212
2020-09,0.317553,7.288866,5.199793,0.20635900000000001,4.330798,1.98752,19.124525
2020-10,0.263778,7.593139,5.354751,0.184114,3.25296,2.871891,19.33652
2020-11,0.195177,7.222192,5.287644,0.157354,3.611281,3.435924,19.752214
2020-12,0.239542,7.659977,4.608119,0.194378,3.098701,4.6179939999999995,20.224331
2021-01,0.187343,7.253087,4.558365,0.153763,3.241821,5.159996,20.400615
2021-02,0.146807,6.589781,4.933072,0.121688,1.924939,3.781884,17.376486
2021-03,0.188504,7.93314,5.561885,0.145322,2.565104,3.92508,20.173712
2021-04,0.223186,7.526627,5.0435229999999995,0.165273,3.309373,3.309695,19.41241
2021-05,0.281393,8.003239,5.240616,0.202869,2.824055,2.478174,18.827473
2021-06,0.373202,7.43127,5.299952,0.289956,3.625436,1.957551,18.687419
2021-07,0.515923,6.639491,5.273614,0.463151,3.474252,1.875552,17.778838
2021-08,0.531864,5.360526,3.880101,0.509939,3.5860119999999998,1.845776,15.204283
2021-09,0.472176,7.676397,5.30374,0.487128,4.293381,1.941677,19.687374
2021-10,0.447087,7.970156,5.157863,0.524753,4.044983,2.481893,20.101983
2021-11,0.380518,7.9757489999999995,5.499517,0.458603,4.957783,4.134845,22.948418
2021-12,0.425201,7.455131,4.797844,0.492718,4.524666,4.259281,21.462124
2022-01,0.364625,6.271939,4.7506129999999995,0.43647600000000003,4.818503,4.983652,21.189337
