YearMonth,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,Total
2019-01,13.465002,132.876118,91.38338,6.499334,149.409109,101.750475,488.884077
2019-02,12.865129,122.169761,79.426643,5.866933,124.503756,86.468456,425.433733
2019-03,14.441105,136.317292,85.157173,6.439147,124.961106,75.934629,436.81129599999997
2019-04,14.169615,135.011415,79.97868,6.75695,101.74567,41.524833,372.430209
2019-05,15.004223,142.021906,82.10005100000001,7.204473,120.282057,30.029277,389.437513
2019-06,14.949338,137.668135,78.676246,7.245867,135.460035,21.740613,388.49436
2019-07,14.965672,142.678745,81.264153,7.418571,171.853346,20.410268,431.172181
2019-08,14.964255,145.618171,83.41082300000001,7.287588,165.93525400000001,21.205865,431.134363
2019-09,14.197337000000001,134.949434,80.520805,6.9746120000000005,146.011379,20.155121,395.834071
2019-10,14.665018,144.978456,84.455664,6.736895,119.63294,33.785255,397.51732499999997
2019-11,14.414584999999999,135.785125,85.327144,6.414138,121.777197,68.603455,425.907496
2019-12,15.625405,135.318505,87.893147,6.798082,124.335649,83.573682,446.746383
2020-01,14.733191,133.501301,88.173684,6.765546,119.795734,88.596992,444.800891
2020-02,14.051,127.57682,83.008514,5.8611509999999996,107.819987,79.481927,411.938239
2020-03,13.448182000000001,123.7847,84.018957,4.861677,102.067836,60.004339,383.324006
2020-04,5.562685,94.786408,70.315904,1.861091,85.685349,44.135907,300.486247
2020-05,5.58482,112.082906,72.044393,2.243616,94.870317,31.586497,316.168928
2020-06,7.623488,123.931363,71.988587,2.496082,124.773939,21.742943,350.060321
2020-07,9.819253,130.700115,76.291986,2.877375,165.462491,19.622841,401.89668
2020-08,9.951289,131.485914,78.595218,2.94214,162.380008,19.116267999999998,401.52869499999997
2020-09,9.075978,128.110906,76.442599,3.069736,126.148147,22.224156999999998,362.001783
2020-10,9.879611,133.652668,81.50771,3.326613,113.497458,34.164682,372.702121
2020-11,10.170021,122.138246,82.716044,3.81784,105.227946,51.575405,371.827658
2020-12,11.084847,124.92009399999999,88.094191,4.090503,128.619021,83.909609,436.627752
2021-01,9.643363,121.306991,87.838208,3.65577,131.167787,91.845331,441.801683
2021-02,9.058127,111.357462,70.283198,3.434129,132.386411,91.321389,414.406582
2021-03,12.474171,133.78757,81.970132,4.105752,105.015548,64.360834,397.60825
2021-04,12.686372,133.542383,80.050774,4.125907,96.506364,42.307025,365.092904
2021-05,13.273925,137.524222,81.281975,4.343181,110.195131,30.443944,372.719182
2021-06,14.126069,137.429468,80.048648,4.403079,147.157544,21.805144,400.56687
2021-07,14.987226,139.461127,79.33780900000001,4.811198,170.457996,20.102956,424.347102
2021-08,14.673834,140.460707,83.22136,4.848735,172.032513,19.396380999999998,429.784789
2021-09,14.17332,134.718909,79.109902,4.77912,135.092591,21.720637,384.815352
2021-10,14.490802,138.054617,81.165226,4.878273,116.162263,30.659423,380.53233
2021-11,14.118659000000001,132.055012,84.222278,4.92719,108.044375,56.73634,395.176655
2021-12,15.190601,132.890543,88.08530999999999,5.6160879999999995,111.306817,73.470338,420.943601
2022-01,13.515021,124.23075,90.471208,5.323061,144.135,102.595292,474.947264
2022-02,12.224998,129.751315,78.105118,4.669281,117.319609,83.221461,420.622501
2022-03,13.51438,142.22027,81.081784,5.251916,105.966396,63.547902,406.330731
2022-04,12.304705,129.748853,85.936647,5.219222,106.897024,44.290693,379.17792
2022-05,12.57377,132.56313,86.64535000000001,5.629607,124.269052,33.123393,389.174692
2022-06,12.555092,123.724985,87.461092,5.822277,152.155067,28.410962,404.307201
2022-07,13.021944,121.81218199999999,85.23385999999999,6.06814,182.527101,27.668925,430.26401500000003
2022-08,12.983387,131.801833,87.081914,6.082096,179.214697,27.592656,438.674484
2022-09,12.278324,130.305307,86.678118,5.675855,144.836189,29.723259,403.821195
2022-10,12.738607,133.734971,87.320266,5.716622,120.824584,39.967648,394.586069
2022-11,12.275554,124.60953599999999,85.725312,5.304871,119.143346,54.686409,396.440158
2022-12,12.643983,130.659382,83.320117,5.6133939999999996,145.957096,69.617862,442.198434
2023-01,12.220191,125.65591,84.610585,5.447433,128.590176,65.316224,416.393086
2023-02,11.4461,119.116332,86.090429,4.8997589999999995,110.72339,60.497828,387.874076
2023-03,13.328733,134.601837,86.530765,5.831037,117.712524,57.826544,410.000407
2023-04,12.638674,129.703792,86.258965,5.994389,101.930435,42.215004,372.746877
2023-05,13.229882,133.746362,86.111786,6.271236,112.731815,33.504093,379.323942
2023-06,13.150634,127.864068,86.683947,6.387839,138.878037,29.782921,396.359605
2023-07,13.556414,127.708425,84.433556,6.777775,179.780809,27.512567999999998,432.991775
2023-08,13.704525,137.124659,86.43762100000001,6.746319,180.108708,27.756234,445.13174300000003
2023-09,12.804045,132.687759,85.874295,6.340272,144.277892,29.212067,404.856058
2023-10,13.443867,138.042402,85.869833,6.41003,121.275471,38.052226,396.6838
2023-11,12.872074,133.76734,85.295357,6.008252,118.321921,53.601506,403.8582
2023-12,13.436528,130.159192,84.583481,6.457113,129.800618,60.427258,418.407077
2024-01,12.172244,132.024434,83.093772,6.201493,155.442187,72.789584,455.522219
2024-02,11.894608,128.105582,85.822487,5.627312,111.421027,59.386843999999996,396.630552
2024-03,13.520877,136.856318,86.628197,6.408411,105.65952,52.505976,395.170886
2024-04,13.181293,136.447643,85.951313,6.510727,98.956988,41.857686,376.394915
2024-05,13.94095,141.337599,85.892906,6.914223,119.982446,32.133628,393.287532
2024-06,14.041149,132.174281,86.953088,7.076041,147.936583,28.295783,409.40087900000003
2024-07,14.392326,133.826541,84.053091,7.352982,177.069028,27.531478,436.872463
2024-08,14.054468,141.356806,86.356054,7.178682,174.578173,27.89735,444.24285
2024-09,13.058772,136.609443,85.613043,6.68664,142.875478,28.54061,406.697348
2024-10,13.906711,145.022367,85.454888,6.691717,122.898328,36.716101,403.998395
2024-11,13.027158,134.940543,84.651495,6.216971,113.913206,50.387557,396.919958
2024-12,13.776169,136.57812,84.296155,6.615298,137.882853,65.496398,438.029698
2025-01,12.584371,136.444752,84.24015,6.299228,162.085971,78.892739,474.247987
2025-02,11.792753,126.165732,86.608642,5.4900269999999995,128.84855,64.676461,418.092145
2025-03,14.123657,145.456185,87.882557,6.624392,107.932411,51.19039,406.585207
2025-04,13.98295,145.618256,86.967411,6.66804,103.512948,41.666942,391.748508
